icao_code,name,type,iso_country,iso_region,municipality,latitude_deg,longitude_deg
EBLB,Elsenborn Air Base,small_airport,BE,BE-WLG,Bütgenbach,50.484818,6.183014
LBDM,Dve Mogili Airfield,small_airport,BG,BG-18,Dve Mogili,43.606541,25.89069
LBBB,Belchinski Bani Airstrip,small_airport,BG,BG-23,Belchinski Bani,42.374713,23.392548
LBBL,Blagoevo Airfield,small_airport,BG,BG-17,Blagoevo,43.455488,26.431655
LBDR,Draganovtsi Airfield,small_airport,BG,BG-07,Draganovtsi,42.943042,25.169528
LBBR,Breznik Airfield,small_airport,BG,BG-14,Pernik,42.693305,22.896559
LCRE,Kingsfield Air Base,small_airport,CY,CY-XX,Dhekelia Sovereign Base Area,35.014275,33.715851
LKLU,Luhačovice Airfield,small_airport,CZ,CZ-ZL,Luhačovice,49.088188,17.718769
EDUG,Gransee Airfield,small_airport,DE,DE-BR,Gransee,53.00628,13.202177
EDVQ,Wilsche Glider Field,small_airport,DE,DE-NI,Gifhorn,52.524677,10.462597
EDSM,Müllheim Airfield,small_airport,DE,DE-BW,Müllheim,47.824316,7.639475
EDSD,Deckenpfronn-Egelsee Airfield,small_airport,DE,DE-BW,Sindelfingen,48.6385,8.8175
EDTA,Bohlhof Glider Field,small_airport,DE,DE-BW,Wutöschingen,47.6509,8.3867
EDSF,Hütten Glider Field,small_airport,DE,DE-BW,Rickenbach,47.6333,7.9412
EDKS,Iserlohn-Sümmern Glider Field,small_airport,DE,DE-NW,Iserlohn,51.436389,7.699722
EBAM,Amougies Airfield,small_airport,BE,BE-WHT,Mont-de-l'Enclus,50.740101,3.4849
EBAR,Arlon-Sterpenich Ultralight Airfield,small_airport,BE,BE-WLX,Arlon,49.661981,5.885953
EBAV,Avernas-le-Bauduin Ultralight Airfield,small_airport,BE,BE-WLG,Hannut,50.706147,5.067739
EBAW,Antwerp International Airport (Deurne),medium_airport,BE,BE-VAN,Antwerp,51.190667,4.463153
EBBR,Brussels Airport,large_airport,BE,BE-VBR,Zaventem,50.901402,4.48444
EBBT,Brasschaat Airfield,small_airport,BE,BE-VAN,Brasschaat,51.34259,4.503451
EBCF,Cerfontaine Airfield,small_airport,BE,BE-WNA,Cerfontaine,50.152802,4.38722
EBCI,Brussels South Charleroi Airport,large_airport,BE,BE-WHT,Charleroi,50.461963,4.459562
EBDT,Schaffen Airfield,small_airport,BE,BE-VBR,Diest,51.004032,5.064697
EBGB,Grimbergen Airfield,small_airport,BE,BE-VBR,Grimbergen,50.948546,4.39181
