from_id,to_id,weight,distance
"Aalborg, DK","Billund, DK",2,156.52
"Aalborg, DK","Oslo (Gardermoen), NO",6,352.10999999999996
"Aalborg, DK","Copenhagen, DK",84,238.40000000000003
"Aalborg, DK","Amsterdam, NL",28,624.13
"Aalborg, DK","Málaga, ES",3,2507.05
"Aalborg, DK","Roskilde, DK",6,218.91
"Aarhus, DK","Gdańsk, PL",2,540.1
"Aarhus, DK","Málaga, ES",4,2458.03
"Aarhus, DK","Vienna, AT",1,996.32
"Aarhus, DK","Oslo (Gardermoen), NO",5,433.5299999999999
"Aberdeen, GB","Stavanger, NO",16,497.01
"Aberdeen, GB","London, GB",67,648.13
"Aberdeen, GB","Luton, Luton, GB",5,603.94
"Aberdeen, GB","Amsterdam, NL",27,703.2699999999999
"Aberdeen, GB","Bergen, NO",12,548.27
"Aberdeen, GB","Dublin, IE",12,491.91
"Aberdeen, GB","Grimsby, Lincolnshire, GB",1,419.68
"Aberdeen, GB","Paris, FR",2,926.26
"Aberdeen, GB","Nottingham, Leicestershire, GB",10,489.15
"Aberdeen, GB","Manchester, Greater Manchester, GB",17,428.41
"Aberdeen, GB","Belfast, GB",3,372.3500000000001
"Aberdeen, GB","Bristol, GB",4,647.98
"Aberdeen, GB","Esbjerg, DK",3,687.09
"Aberdeen, GB","Glasgow, GB",4,201.61
"Aberdeen, GB","Birmingham, West Midlands, GB",13,528.74
"Aberdeen, GB","Norwich, Norfolk, GB",10,550.0200000000001
"Aix en Provence, FR","Chambéry, FR",2,240.51
"Ajaccio, FR","Marignane, Bouches-du-Rhône, FR",33,338.33
"Ajaccio, FR","Paris, FR",24,965.23
"Ajaccio, FR","Nice, Alpes-Maritimes, FR",9,232.33000000000004
"Ajaccio, FR","Colombier-Saugnieu, Rhône, FR",3,517.05
"Ajaccio, FR","Seville, ES",1,1351.7
"Alava, ES","Valencia, ES",2,421.44
"Alava, ES","Santiago de Compostela, ES",1,463.53
"Alava, ES","Orio al Serio (BG), IT",1,1035.96
"Alava, ES","Seville, ES",4,664.53
"Alexandroupolis, GR","Spata-Artemida, GR",14,367.76000000000005
"Alghero, IT","Rome, IT",29,369.29
"Alghero, IT","Segrate (MI), IT",21,541.13
"Alghero, IT","Orio al Serio (BG), IT",2,571.78
"Alghero, IT","Bologna, IT",3,498.53
"Alicante, ES","London, GB",71,1471.3299999999997
"Alicante, ES","Nowy Dwór Mazowiecki, PL",2,2270.37
"Alicante, ES","Eindhoven, NL",23,1535.7599999999998
"Alicante, ES","Palma de Mallorca, ES",22,318.2300000000001
"Alicante, ES","Balice, PL",9,2074.3000000000006
"Alicante, ES","Leeds, West Yorkshire, GB",16,1734.86
"Alicante, ES","Paris, FR",23,1245.77
"Alicante, ES","Zaventem, BE",29,1458.0099999999998
"Alicante, ES","Luton, Luton, GB",21,1511.49
"Alicante, ES","Köln (Cologne), DE",11,1524.41
"Alicante, ES","Vienna, AT",5,1760.1199999999997
"Alicante, ES","Katowice, PL",6,2055.99
"Alicante, ES","Darlington, Durham, GB",2,1805.56
"Alicante, ES","Liverpool, GB",23,1682.9500000000003
"Alicante, ES","Newcastle upon Tyne, Tyne and Wear, GB",13,1865.09
"Alicante, ES","Rotterdam, NL",14,1569.31
"Alicante, ES","Rome, IT",9,1170.9299999999998
"Alicante, ES","Amsterdam, NL",27,1613.15
"Alicante, ES","Dublin, IE",12,1739.79
"Alicante, ES","Barcelona, ES",38,403.84999999999997
"Alicante, ES","Düsseldorf, DE",5,1555.69
"Alicante, ES","Bergen, NO",4,2480.89
"Alicante, ES","Copenhagen, DK",16,2164.54
"Alicante, ES","Tenerife, ES",6,1846.26
"Alicante, ES","Oostende, BE",6,1461.3099999999997
"Alicante, ES","Edinburgh, GB",13,1975.6799999999998
"Alicante, ES","Manchester, Greater Manchester, GB",42,1680.5700000000002
"Alicante, ES","Seville, ES",8,478.1
"Alicante, ES","Belfast, GB",16,1865.1600000000003
"Alicante, ES","Madrid, ES",34,359.3
"Alicante, ES","Bristol, GB",27,1466.4
"Alicante, ES","Exeter, Devon, GB",2,1402.72
"Alicante, ES","Birmingham, West Midlands, GB",20,1578.5
"Alicante, ES","Cardiff, GB",9,1474.42
"Alicante, ES","Nottingham, Leicestershire, GB",13,1618.8499999999997
"Alicante, ES","Warsaw, PL",14,2271.35
"Alicante, ES","Weeze, DE",7,1570.4400000000003
"Alicante, ES","Budapest, HU",10,1893.95
"Alicante, ES","Marignane, Bouches-du-Rhône, FR",5,750.73
"Alicante, ES","Charleroi, BE",18,1410.9900000000002
"Alicante, ES","Oslo (Gardermoen), NO",20,2570.41
"Alicante, ES","Bournemouth, GB",5,1393.4
"Alicante, ES","Prestwick, South Ayrshire, GB",5,1938.0899999999997
"Alicante, ES","Göteborg, SE",10,2347.85
"Alicante, ES","Stockholm, SE",14,2698.53
"Alicante, ES","Prague, CZ",2,1760.68
"Alicante, ES","Bratislava, SK",6,1804.28
"Alicante, ES","Orio al Serio (BG), IT",5,1179.31
"Alicante, ES","Cork, IE",4,1629.04
"Alicante, ES","Büren, DE",1,1645.78
"Alicante, ES","Stavanger, NO",4,2332.55
"Alicante, ES","Poznań, PL",6,2066.7
"Alicante, ES","Geneva, CH",8,1040.1
"Alicante, ES","Glasgow, GB",10,1977.0
"Alicante, ES","Berlin, DE",6,1905.67
"Alicante, ES","Ibiza (Eivissa), ES",9,180.27000000000004
"Alicante, ES","Porto, PT",2,768.23
"Alicante, ES","Newquay, GB",2,1396.56
"Alicante, ES","Beauvais, FR",5,1260.39
"Alicante, ES","Ferno (VA), IT",12,1119.8
"Alicante, ES","Nuremberg, DE",4,1553.41
"Alicante, ES","Zurich, CH",7,1259.76
"Alicante, ES","Frankfurt am Main (Lautzenhausen), DE",5,1437.52
"Alicante, ES","Granada, ES",1,308.07
"Almería, ES","Seville, ES",11,318.75
"Almería, ES","Melilla, ES",2,181.72
"Almería, ES","Madrid, ES",22,414.84
"Almería, ES","Barcelona, ES",10,626.44
"Almería, ES","London, GB",5,1641.02
"Amsterdam, NL","Schkeuditz, DE",11,522.02
"Amsterdam, NL","Ferno (VA), IT",18,796.6399999999999
"Amsterdam, NL","Birmingham, West Midlands, GB",41,442.13000000000005
"Amsterdam, NL","Aalborg, DK",29,624.13
"Amsterdam, NL","Grimsby, Lincolnshire, GB",20,370.39
"Amsterdam, NL","Belfast, GB",14,759.8099999999998
"Amsterdam, NL","Zaventem, BE",29,157.65999999999997
"Amsterdam, NL","Düsseldorf, DE",33,178.33999999999997
"Amsterdam, NL","Luxembourg, LU",28,314.94999999999993
"Amsterdam, NL","London, GB",244,341.41
"Amsterdam, NL","Cork, IE",14,906.11
"Amsterdam, NL","Paris, FR",92,378.01
"Amsterdam, NL","Caselle Torinese (TO), IT",12,818.0
