icao,callsign,count
3e1685,CHX3,8
3de0bf,DHFJB,2
45d069,VKG4587,1
45884d,OYBBM,4
4ac9f4,SAS1228,1
4ac9f3,SAS1204,1
4aca15,NSZ9BH,2
4aca15,NSZ3079,2
4ac9f2,SAS1218,1
4ac9f0,SAS1214,1
4ac9f0,SAS1208,1
4ac9f0,SAS1202,1
4aca4f,NSZ81E,1
4aca50,NSZ3091,2
4ab822,NSZ3089,1
4ab822,NSZ3087,1
4ab5d5,SAS1206,1
478cc8,DOC05,4
4ab565,SAS1206,1
4acaa1,SAS1208,1
4aca93,NSZ3091,1
4aca93,NSZ3089,1
4aca93,NSZ3087,1
45ac33,SAS1204,1
4ab822,NSZ3079,2
4ac9f2,SAS1228,1
4a91fa,SAS1218,1
4ac9ef,SAS1202,1
4aca50,NSZ81E,1
4aca8b,NSZ9BH,1
4aca8b,NSZ3079,1
4acaa1,SAS1218,1
4aca93,NSZ3085,1
4a91fa,SAS1208,1
4a91fa,SAS1202,1
45f424,DAF5615,2
45ac54,SAS1214,2
45ac54,SAS1228,1
4ab821,NSZ81E,1
4aca15,NSZ3091,2
4aca15,NSZ3089,3
4ab569,SAS1206,1
45f426,DAF5557,2
4aca12,NSZ3093,1
4aca8b,NSZ3087,1
4aca12,NSZ81E,1
4ac9e6,SAS1218,1
4aca6e,SAS1204,1
4ac9ed,SAS1202,1
4ab822,NSZ3093,1
47ba0d,SAS1214,1
47ba0d,SAS1228,1
4ac9e7,SAS1208,1
4ac9ed,SAS1228,1
4ab822,NSZ9BH,2
4acaa2,SAS1204,1
4ab5d2,SAS1206,1
4acaa3,SAS1208,1
4aca15,NSZ3093,2
4aca15,NSZ81E,1
4acaa1,SAS1214,1
4ac9e4,SAS1218,1
4aca45,NSZ3095,1
4aca45,NSZ3091,1
4aca45,NSZ3089,1
4aca45,NSZ3087,1
4ac9e7,SAS1202,1
45ac50,SAS1218,1
4cad95,SAS1208,1
4ac9e9,SAS1228,1
4aca15,NSZ3087,1
4aca15,NSZ3085,1
4caf24,SAS1210,1
45f424,DAF5514,1
4ca660,SAS1204,1
4ac9e6,SAS1228,1
4aca14,NSZ3095,1
4caf14,SAS1208,1
45ac50,SAS1214,1
48548c,KLM25M,1
3c1459,KLM32F,6
3c1459,KLM1282,6
484cc2,KLM26X,1
3c5db0,KLM32F,1
3c5db0,KLM1282,1
485779,KLM25M,2
485875,KLM26X,1
484c1b,KLM26X,1
484cc3,KLM25M,1
4853f4,KLM25M,2
4852f4,KLM26X,1
4852f5,KLM26X,1
484c53,KLM25M,1
485207,KLM26X,1
4855d2,KLM26X,1
4aca81,NSZ28T,1
4aca96,NSZ28T,2
45a953,JNJ612B,1
4a91fa,SAS1214,1
4aca14,NSZ3093,1
459904,FHV22,3
45ca65,FXT12E,4
48c131,RYR5EX,1
48c2ae,RYR5EX,1
493282,NJE132D,1
4cae63,RYR81XA,2
4ca9cc,RYR81XA,1
501e45,JSY3H,1
4cabda,SAS1258,1
4ab5d2,SAS1260,2
4ab5d2,SAS55W,2
4cafd8,SAS1240,1
4ab5d5,SAS55W,1
4cacbd,SAS1258,2
4cacbd,SAS1240,2
4cafd8,SAS1258,1
4ab5d5,SAS1260,1
4cabda,SAS1240,1
4caf24,SAS1258,2
4ab569,SAS1260,3
4ab569,SAS55W,2
4cafd6,SAS1240,1
4ab5d5,SAS1246,2
4caf94,SAS1258,1
4ca1cc,SAS1240,1
4caf94,SAS1240,1
4ab564,SAS1260,1
399a63,FHGTD,6
392452,FGJCS,3
398a2e,FHCRO,5
3994a5,FHFFF,4
3879bd,FJXDM,2
38735c,FJKSF,1
39b014,FHMAU,4
39ada4,RTO087,3
39a206,FPO774,1
398495,CCM41VR,1
39dd45,CCM62PM,2
39dd59,CCM84DE,1
39dd42,CCM69PM,1
39a339,FHIZZ,3
398640,CCM62PM,3
398640,CCM69PM,2
45214b,FPO5774,4
39dd45,CCM41VR,2
399549,AGH21A,3
39dd45,CCM69PM,2
39dd41,CCM41VR,3
39dd41,CCM62PM,1
399a88,AGH11A,1
396669,FPO770,1
39dd41,CCM69PM,1
39dd59,CCM69PM,1
39dd49,CCM62PM,1
39cd33,TJT777C,1
3964f1,CCM37FH,1
398495,CCM51WB,1
398495,CCM32KY,1
398640,CCM68UW,3
39dd45,CCM51WB,2
39dd45,CCM32KY,2
39dd41,CCM51WB,2
398640,CCM37FH,1
398640,CCM32KY,1
39dd41,CCM68UW,1
39dd41,CCM32KY,1
39dd49,CCM37FH,1
398640,CCM950,1
398640,CCM51WB,1
3985a1,AFR41NZ,1
3985a7,AFR7565,1
39dd41,CCM37FH,1
39dd49,CCM68UW,1
3985a9,AFR7565,1
39dd57,CCM75DT,1
39dd48,CCM990,1
39dd48,CCM90BI,1
39dd59,CCM38BI,1
39dd59,CCM75DT,1
39dd59,CCM108,1
39dd59,CCM90BI,2
39dd40,CCM38BI,1
39dd57,CCM29NU,1
39dd48,CCM29NU,1
398640,CCM29NU,1
39dd45,CCM810,2
4ac98a,BCS6WK,2
3c5431,BCS5WE,1
34804a,RGN1810,5
3c542e,BCS5WE,1
3474cb,BCS3JM,1
4cae48,RYR3301,1
46bc53,AEE143,1
46bc53,AEE14XD,1
469596,SEH2DT,1
4690e4,AEE14XD,1
46bc4d,AEE145,1
4692d7,AEE1XD,1
46bc49,AEE14XD,1
46bc52,AEE143,1
46d0c9,SEH2DT,1
4692cd,AEE1XD,1
4692d3,AEE145,1
4690e5,AEE1XD,1
46d2f2,SEH6DT,1
46bc52,AEE145,1
4cada8,ITY1569,3
4cadee,ITY1601,1
4cadee,ITY1605,2
4cada8,ITY1601,2
4cada8,ITY1605,2
4cade8,ITY1601,2
4ca98a,ITY1569,1
4cadee,ITY1569,1
4cade8,ITY1605,1
4cada6,ITY1601,1
4cada6,ITY1569,1
4cadde,ITY1605,1
4cadde,ITY1569,1
4cadec,ITY1601,1
4cada6,ITY1605,1
4d2286,RYR27ZG,1
4ca9d0,RYR27ZG,1
4ca805,RYR754,1
4ca892,RYR754,1
4caa5a,RYR754,1
48c230,RYR64EE,1
48e9f2,RYR64EE,1
4854cd,TRA26F,2
48520d,TRA6A,1
4cad11,RYR13ZD,1
4d2346,RYR51SY,1
4cadf2,RYR51SY,1
484c59,TRA6A,1
485061,TRA6A,1
4cade2,RYR13ZD,1
4ca9c3,RYR51SY,1
48520d,TRA26F,1
4cae49,RYR51SY,1
4854cd,TRA6A,1
484506,TRA26F,1
484506,TRA6A,1
4ca243,RYR51SY,1
4cad11,RYR51SY,1
48414d,TRA26F,1
48414d,TRA6A,1
48520c,TRA6A,1
484c59,TRA26F,1
4ca854,RYR51SY,1
4cadf2,RYR13ZD,1
4d207c,RYR48DL,1
344216,AEA17SB,1
347309,AEA54HL,1
347306,AEA17SB,2
347481,AEA54HL,1
34604d,AEA54HL,1
346183,VLG3FW,1
348208,VLG3FW,1
344459,AEA17SB,1
34750a,AEA54HL,1
346083,AEA54HL,1
34258f,VLG3FW,1
48c130,RYR48DL,1
347307,AEA17SB,1
34750a,AEA17SB,1
345218,AEA54HL,1
4ca854,RYR48DL,1
348207,VLG3FW,1
3453c1,AEA54HL,1
34604d,AEA17SB,1
342398,VLG3FW,1
4d207c,RYR9WL,1
48c1a5,RYR32LL,1
4cae90,RYR32LL,1
4d2217,RYR32LL,1
4cae49,RYR32LL,1
4caf27,RYR9WL,1
4d2236,RYR32LL,1
4caf35,RYR32LL,1
4cae54,RYR32LL,1
347696,VLG7VK,1
39de47,TVF44ZT,1
39de4a,TVF4705,1
3444ca,VLG5CX,1
34454a,VLG5CX,1
3472c3,VLG7VK,1
34768f,VLG7VK,1
343046,VLG5CX,1
34768f,VLG5CX,2
39de45,TVF85NQ,1
3430cc,VLG7VK,1
39de53,TVF44ZT,1
347690,VLG7VK,1
347690,VLG5CX,1
39de48,TVF85NQ,1
3430cc,VLG5CX,1
345206,VLG7VK,1
39de4d,TVF44ZT,1
3964ec,TVF44ZT,1
3964ea,TVF85NQ,1
342398,VLG8318,1
3424d4,VLG7VK,1
347696,VLG41PY,1
44d1c2,JAF1YA,1
34768d,VLG58FB,1
485061,TRA91J,1
34768e,VLG41PY,1
44cc43,BEL5VB,1
44cc42,BEL5VB,1
44d1a5,JAF1YA,1
39d30d,TRA91J,3
44d1a7,JAF1YA,1
345107,VLG41PY,1
485122,TRA9X,1
3424d4,VLG41PY,4
44cdc6,BEL5VB,1
4854c7,TRA91J,1
449682,JAF1YA,2
