id,name,iso_country,iso_region,latitude,longitude,airports,airports_count,nut3_code,node_type,node_degree,out_flights_number,in_flights_number
"Braunschweig, DE",Braunschweig,DE,DE-NI,52.319199,10.5561,EDVE,1,,,61,31,30
"Zgornji Brnik, SI",Zgornji Brnik,SI,SI-012,46.223701,14.4576,LJLJ,1,,,230,110,120
"Eindhoven, NL",Eindhoven,NL,NL-NB,51.4500999451,5.37452983856,EHEH,1,,,491,246,245
"Stockholm, SE",Stockholm,SE,SE-AB,59.5014455,17.935264500000002,"ESSA, ESSB",2,,,2719,1359,1360
"Constanța, RO",Constanța,RO,RO-CT,44.362202,28.4883,LRCK,1,,,15,8,7
"Dundee, GB",Dundee,GB,GB-SCT,56.452499,-3.02583,EGPN,1,,,27,23,4
"Oostende, BE",Oostende,BE,BE-VWV,51.1998,2.874673,EBOS,1,,,62,34,28
"Göteborg, SE",Göteborg,SE,SE-Q,57.71875,12.075099999999999,"ESGG, ESGP",2,,,700,348,352
"Copenhagen, DK",Copenhagen,DK,DK-84,55.617900848389,12.656000137329,EKCH,1,,,3702,1848,1854
"Farnborough, Hampshire, GB","Farnborough, Hampshire",GB,GB-ENG,51.275799,-0.776333,EGLF,1,,,344,161,183
"Marlow, Buckinghamshire, GB","Marlow, Buckinghamshire",GB,GB-ENG,51.61177,-0.808316,EGTB,1,,,1,0,1
"Alghero, IT",Alghero,IT,IT-88,40.632099,8.29077,LIEA,1,,,124,62,62
"Edremit, TR",Edremit,TR,TR-10,39.552533,27.010192,LTFD,1,,,21,11,10
"Kithira Island, GR",Kithira Island,GR,GR-I,36.273978,23.016719,LGKC,1,,,1,0,1
"Kokkola / Kruunupyy, FI",Kokkola / Kruunupyy,FI,FI-07,63.721199,23.143101,EFKK,1,,,22,11,11
"Bristol, GB",Bristol,GB,GB-ENG,51.382326,-2.716453,EGGD,1,,,1027,512,515
"Darlington, Durham, GB","Darlington, Durham",GB,GB-ENG,54.509201,-1.42941,EGNV,1,,,73,35,38
"Manchester, Greater Manchester, GB","Manchester, Greater Manchester",GB,GB-ENG,53.349375,-2.279521,EGCC,1,,,2361,1190,1171
"Porto, PT",Porto,PT,PT-13,41.2481002808,-8.68138980865,LPPR,1,,,1651,815,836
"Glasgow, GB",Glasgow,GB,GB-SCT,55.871899,-4.43306,EGPF,1,,,879,438,441
"Lahr/Schwarzwald, DE",Lahr/Schwarzwald,DE,DE-BW,48.369301,7.82772,EDTL,1,,,7,4,3
"Çorlu, TR",Çorlu,TR,TR-59,41.138199,27.9191,LTBU,1,,,1,0,1
"Salzburg, AT",Salzburg,AT,AT-5,47.793301,13.0043,LOWS,1,,,555,276,279
"Luxembourg, LU",Luxembourg,LU,LU-L,49.626845,6.212134,ELLX,1,,,900,439,461
"Katowice, PL",Katowice,PL,PL-SL,50.476015,19.080705,EPKT,1,,,411,206,205
"Joensuu, FI",Joensuu,FI,FI-13,62.658815,29.619398,EFJO,1,,,5,5,0
"Birmingham, West Midlands, GB","Birmingham, West Midlands",GB,GB-ENG,52.453899,-1.74803,EGBB,1,,,1225,610,615
"Alicante, ES",Alicante,ES,ES-VC,38.2822,-0.558156,LEAL,1,,,1800,907,893
"Retford, Nottinghamshire, GB","Retford, Nottinghamshire",GB,GB-ENG,53.280602,-0.951389,EGNE,1,,,10,5,5
"Helsinki (Vantaa), FI",Helsinki (Vantaa),FI,FI-18,60.318363,24.963341,EFHK,1,,,1864,939,925
"Aberdeen, GB",Aberdeen,GB,GB-SCT,57.2019,-2.19778,EGPD,1,,,450,221,229
"Bournemouth, GB",Bournemouth,GB,GB-ENG,50.780483,-1.839576,EGHH,1,,,86,40,46
"Munich, DE",Munich,DE,DE-BY,48.353802,11.7861,EDDM,1,,,3858,1910,1948
"Funchal, PT",Funchal,PT,PT-30,32.697812,-16.774613,LPMA,1,,,539,267,272
"Riga, LV",Riga,LV,LV-062,56.955926000000005,24.022856,EVRA,1,,,849,430,419
"Ronchi dei Legionari/Trieste, IT",Ronchi dei Legionari/Trieste,IT,IT-36,45.827499,13.4722,LIPQ,1,,,150,78,72
"Mannheim, DE",Mannheim,DE,DE-BW,49.473057,8.514167,EDFM,1,,,54,25,29
"Kuressaare, EE",Kuressaare,EE,EE-74,58.22990036010742,22.50950050354004,EEKE,1,,,13,4,9
"Almería, ES",Almería,ES,ES-AN,36.843899,-2.3701,LEAM,1,,,123,60,63
"Hörselberg-Hainich, DE",Hörselberg-Hainich,DE,DE-TH,50.991604,10.47973,EDGE,1,,,3,2,1
"Kefallinia Island, GR",Kefallinia Island,GR,GR-F,38.12009811401367,20.500499725341797,LGKF,1,,,7,2,5
"Caen, FR",Caen,FR,FR-NOR,49.17678,-0.454883,LFRK,1,,,34,18,16
"Andrézieux-Bouthéon, Loire, FR","Andrézieux-Bouthéon, Loire",FR,FR-ARA,45.5406,4.29639,LFMH,1,,,4,2,2
"Rome, IT",Rome,IT,IT-62,41.8016505,12.423664500000001,"LIRA, LIRF",2,,,3711,1899,1812
"Sønderborg, DK",Sønderborg,DK,DK-83,54.96440124511719,9.791729927062988,EKSB,1,,,61,29,32
"Zurich, CH",Zurich,CH,CH-ZH,47.458056,8.548056,LSZH,1,,,3366,1675,1691
"Genova (GE), IT",Genova (GE),IT,IT-42,44.412039,8.840732,LIMJ,1,,,180,90,90
"Blackpool, GB",Blackpool,GB,GB-ENG,53.771702,-3.02861,EGNH,1,,,20,9,11
"Kuopio / Siilinjärvi, FI",Kuopio / Siilinjärvi,FI,FI-15,63.007099,27.7978,EFKU,1,,,72,36,36
