id1,id2,weight,distance
"Aalborg, DK","Billund, DK",3,156.52
"Aalborg, DK","Oslo (Gardermoen), NO",11,352.10999999999996
"Aalborg, DK","Copenhagen, DK",167,238.40000000000003
"Aalborg, DK","Amsterdam, NL",57,624.13
"Aalborg, DK","Málaga, ES",6,2507.05
"Aalborg, DK","Roskilde, DK",11,218.91
"Aarhus, DK","Gdańsk, PL",5,540.1
"Aarhus, DK","Málaga, ES",7,2458.03
"Aarhus, DK","Vienna, AT",1,996.32
"Aarhus, DK","Oslo (Gardermoen), NO",9,433.5299999999999
"Aberdeen, GB","Stavanger, NO",35,497.01
"Aberdeen, GB","London, GB",135,648.13
"Aberdeen, GB","Dublin, IE",24,491.91
"Aberdeen, GB","Amsterdam, NL",55,703.2699999999999
"Aberdeen, GB","Bergen, NO",22,548.27
"Aberdeen, GB","Luton, Luton, GB",10,603.94
"Aberdeen, GB","Grimsby, Lincolnshire, GB",1,419.68
"Aberdeen, GB","Paris, FR",4,926.26
"Aberdeen, GB","Glasgow, GB",8,201.61
"Aberdeen, GB","Birmingham, West Midlands, GB",25,528.74
"Aberdeen, GB","Norwich, Norfolk, GB",21,550.0200000000001
"Aberdeen, GB","Nottingham, Leicestershire, GB",20,489.15
"Aberdeen, GB","Manchester, Greater Manchester, GB",33,428.41
"Aberdeen, GB","Belfast, GB",6,372.3500000000001
"Aberdeen, GB","Bristol, GB",8,647.98
"Aberdeen, GB","Esbjerg, DK",6,687.09
"Aix en Provence, FR","Chambéry, FR",2,240.51
"Ajaccio, FR","Marignane, Bouches-du-Rhône, FR",66,338.33
"Ajaccio, FR","Paris, FR",50,965.23
"Ajaccio, FR","Nice, Alpes-Maritimes, FR",14,232.33000000000004
"Ajaccio, FR","Colombier-Saugnieu, Rhône, FR",5,517.05
"Ajaccio, FR","Seville, ES",2,1351.7
"Alava, ES","Valencia, ES",2,421.44
"Alava, ES","Santiago de Compostela, ES",1,463.53
"Alava, ES","Orio al Serio (BG), IT",2,1035.96
"Alava, ES","Seville, ES",5,664.53
"Alexandroupolis, GR","Spata-Artemida, GR",52,367.76000000000005
"Alghero, IT","Rome, IT",59,369.29
"Alghero, IT","Segrate (MI), IT",42,541.13
"Alghero, IT","Orio al Serio (BG), IT",4,571.78
