id,name,iso_country,iso_region,latitude,longitude,airports,airports_count,out_flights_number,in_flights_number,traffic,nut3_code,node_degree
"Alava, ES",Alava,ES,ES-PV,42.882801,-2.72447,LEVT,1,,,36,ES11,36
"Örebro, SE",Örebro,SE,SE-T,59.22370147705078,15.038000106811523,ESOE,1,,,37,SE124,37
"Thessaloniki, GR",Thessaloniki,GR,GR-B,40.51928,22.970009,LGTS,1,,,640,EL52,640
"Kuopio / Siilinjärvi, FI",Kuopio / Siilinjärvi,FI,FI-15,63.007099,27.7978,EFKU,1,,,70,FI1DB,70
"Kidlington, Oxfordshire, GB","Kidlington, Oxfordshire",GB,GB-ENG,51.836899,-1.32,EGTK,1,,,69,,69
"Zgornji Brnik, SI",Zgornji Brnik,SI,SI-012,46.223701,14.4576,LJLJ,1,,,224,SI042,224
"Lincoln, Lincolnshire, GB","Lincoln, Lincolnshire",GB,GB-ENG,53.191966,-0.34651566666666667,"EGNW, EGXC, EGXW",3,,,11,,11
"Boos, FR",Boos,FR,FR-NOR,49.384887,1.179142,LFOP,1,,,3,FRD22,3
"Wevelgem, BE",Wevelgem,BE,BE-VWV,50.818878,3.209551,EBKT,1,,,40,BE254,40
"Antwerp, BE",Antwerp,BE,BE-VAN,51.190667,4.463153,EBAW,1,,,102,BE211,102
"Erfurt, DE",Erfurt,DE,DE-TH,50.978281,10.960713,EDDE,1,,,14,DEE0,14
"Szymany, PL",Szymany,PL,PL-WN,53.481899,20.9377,EPSY,1,,,17,PL62,17
"Turku, FI",Turku,FI,FI-19,60.514099,22.2628,EFTU,1,,,48,FI1C1,48
"Łódź, PL",Łódź,PL,PL-LD,51.721901,19.3981,EPLL,1,,,54,PL71,54
"Zaragoza, ES",Zaragoza,ES,ES-AR,41.666199,-1.04155,LEZG,1,,,105,ES24,105
"Edremit, TR",Edremit,TR,TR-10,39.552533,27.010192,LTFD,1,,,19,TR221,19
"Manching, DE",Manching,DE,DE-BY,48.7156982421875,11.534000396728516,ETSI,1,,,18,DE21,18
"Castres, FR",Castres,FR,FR-OCC,43.556301,2.28918,LFCK,1,,,22,FRJ27,22
"Bolzano (BZ), IT",Bolzano (BZ),IT,IT-32,46.459245,11.326125,LIPB,1,,,62,ITC1,62
"Memmingen, DE",Memmingen,DE,DE-BY,47.988092,10.238248,EDJA,1,,,158,DE27,158
"Tarbes/Lourdes/Pyrénées, FR",Tarbes/Lourdes/Pyrénées,FR,FR-OCC,43.178699,-0.006439,LFBT,1,,,41,FRJ26,41
"Kefallinia Island, GR",Kefallinia Island,GR,GR-F,38.12009811401367,20.500499725341797,LGKF,1,,,7,EL62,7
"Friedrichshafen, DE",Friedrichshafen,DE,DE-BW,47.671299,9.51149,EDNY,1,,,102,DE14,102
"Skellefteå, SE",Skellefteå,SE,SE-AC,64.62480163574219,21.076900482177734,ESNS,1,,,55,SE331,55
"Ampugnano (SI), IT",Ampugnano (SI),IT,IT-52,43.256302,11.255,LIQS,1,,,7,ITI1,7
"Siljansnäs, SE",Siljansnäs,SE,SE-W,60.785099,14.8272,ESVS,1,,,7,SE312,7
"Esbjerg, DK",Esbjerg,DK,DK-83,55.525902,8.5534,EKEB,1,,,8,DK032,8
