icao_code,manufacturerName,model
4aca15,Boeing,Boeing 737-8AS (W)
4ab565,Avions De Transport Regional,ATR 72 600
4a91fa,Airbus,A320 251NSL
45ac33,Airbus,A320 232
45ac54,Airbus,A319 132
45f424,Bombardier,Bombardier Challenger 604
45f426,Bombardier,Bombardier Challenger 604
47ba0d,Airbus,A320 251NSL
45ac50,Airbus,A319 132
484cc2,Embraer,EMB-190 STD
485875,Embraer,EMB-190 STD
484c1b,Embraer,EMB-190 STD
484cc3,Embraer,EMB-190 STD
484c53,Embraer,EMB-190 STD
485207,Embraer,EMB-190 STD
45d069,Airbus,A321 211SL
45ca65,Pilatus,PC-XII 47E
4ca9cc,The Boeing Company,BOEING 737-8AS
39b014,Embraer,Phenom 100
398495,Airbus,A320 216
398640,Airbus,A320 216
3985a9,Airbus,A320 214
3985a1,Airbus,A320 214
3985a7,Airbus,A320 214
3c5431,Airbus,A300 B4-622RF
3c542e,Airbus,A300 B4-622RF
4690e4,Airbus,A320 232
4692d7,Airbus,A320 232
4690e5,Airbus,A320 232
4692cd,Airbus,A320 232
4692d3,Airbus,A320 232
4cada8,Airbus Industrie,A320-271N
4ca98a,Airbus Industrie,A319-111
4d2286,Boeing,Boeing 737-8AS (W)
4ca9d0,The Boeing Company,BOEING 737-8AS
4ca730,Airbus Industrie,A320-216
4ca798,Airbus Industrie,A320-216
4ca757,Airbus Industrie,A320-216
4ca759,Airbus Industrie,A320-216
4ca783,Airbus Industrie,A320-216
4ca718,Airbus Industrie,A320-216
4ca90a,Airbus Industrie,A320-216
4ca8ff,Airbus Industrie,A320-216
4ca85c,Airbus Industrie,A320-216
4ca805,The Boeing Company,BOEING 737-8AS
4ca892,The Boeing Company,BOEING 737-8AS
4caa5a,The Boeing Company,BOEING 737-8AS
4ca7b3,The Boeing Company,BOEING 737-8AS
4ca2c1,The Boeing Company,BOEING 737-8AS
4ca8e4,The Boeing Company,BOEING 737-8AS
4ca893,The Boeing Company,BOEING 737-8AS
344216,Boeing,737NG 85P/W
344195,Bombardier,CRJ 1000 NG
345388,Bombardier,CRJ 1000 NG
3451d9,Bombardier,CRJ 1000 NG
344459,Boeing,737NG 85P/W
345385,Bombardier,CRJ 1000 NG
3453c1,Boeing,737NG 800/W
344197,Bombardier,CRJ 1000 NG
344213,Bombardier,CRJ 1000 NG
345218,Boeing,737NG 85P/W
4ca569,The Boeing Company,BOEING 737-8AS
342582,Airbus,A320 216
345359,Airbus,A321 231SL
3443d1,Airbus,A320 232
344644,Airbus,A320 232SL
3443d3,Airbus,A320 214SL
344697,Airbus,A320 232SL
344694,Airbus,A320 232SL
342397,Airbus,A320 214
34538d,Airbus,A321 231SL
345043,Airbus,A321 231SL
345107,Airbus,A320 232SL
344691,Airbus,A320 232SL
342398,Airbus,A320 214
345084,Airbus,A319 112
345116,Airbus,A321 231SL
344158,Airbus,A320 214
345108,Airbus,A320 232SL
342396,Airbus,A320 214
4caa58,The Boeing Company,BOEING 737-8AS
4ac9f5,Airbus,A320-251N
47ba78,Airbus,A320 251NSL
4ca622,The Boeing Company,BOEING 737-8AS
4ca24f,The Boeing Company,BOEING 737-8AS
346183,Airbus Industrie,A320-271N
34258f,Airbus,A320 216
48c130,Boeing,Boeing 737-8AS (W)
4ca854,The Boeing Company,BOEING 737-8AS
48520b,Boeing,737NG 8K2/W
485009,Boeing,737NG 8K2/W
485123,Boeing,737NG 8K2/W
3451d3,Airbus,A320 232SL
48520d,Boeing,737NG 8K2/W
484c59,Boeing,737NG 8K2/W
485061,Boeing,737NG 8K2/W
4ca9c3,The Boeing Company,BOEING 737-8AS
4ca243,The Boeing Company,BOEING 737-8AS
48520c,Boeing,737NG 8K2/W
48414d,Boeing,737NG 8K2/W
484f6c,Boeing,737NG 8K2/W
4853d2,Boeing,737NG 800/W
4853d3,Boeing,737NG 800/W
3442cc,Avions De Transport Regional,ATR 72 600
44068e,Cessna,Citation CJ2+
343694,Bombardier,CRJ 1000 NG
3444ca,Airbus,A320 214SL
34454a,Airbus,A320 214
