municipality,airports,iso_country,iso_region,latitude_deg,longitude_deg
Aachen,EDKA,DE,DE-NW,50.823055,6.186389
Aalborg,EKYT,DK,DK-81,57.094763,9.84993
Aarhus,EKAH,DK,DK-82,56.303331,10.618286
Abbeyshrule,EIAB,IE,IE-LD,53.591373,-7.642947
Aberdeen,EGPD,GB,GB-SCT,57.2019,-2.19778
Adıyaman,LTCP,TR,TR-02,37.7314,38.468899
Agen,LFBA,FR,FR-NAQ,44.174171,0.59309
Agno,LSZA,CH,CH-TI,46.004299,8.91058
Aix en Provence,LFMA,FR,FR-PAC,43.506294,5.366426
Ajaccio,LFKJ,FR,FR-COR,41.923599,8.80292
Akrotiri,LCRA,CY,CY-XX,34.590401,32.9879
"Alajero, La Gomera Island",GCGM,ES,ES-CN,28.0296,-17.2146
Alava,LEVT,ES,ES-PV,42.882801,-2.72447
Albert,LFAQ,FR,FR-HDF,49.970049,2.693939
Albi,LFCI,FR,FR-OCC,43.913898,2.11306
Alexandroupolis,LGAL,GR,GR-A,40.8559,25.956301
Alghero,LIEA,IT,IT-88,40.632099,8.29077
Alicante,LEAL,ES,ES-VC,38.2822,-0.558156
Almería,LEAM,ES,ES-AN,36.843899,-2.3701
Alstahaug,ENST,NO,NO-18,65.956802,12.4689
Alta,ENAT,NO,NO-56,69.976097,23.3717
Altıntaş,LTBZ,TR,TR-43,39.113079,30.128111
Amasya,LTAP,TR,TR-05,40.829399,35.521999
Ampugnano (SI),LIQS,IT,IT-52,43.256302,11.255
Amsterdam,EHAM,NL,NL-NH,52.308601,4.76389
Andenes,ENAN,NO,NO-18,69.295193,16.139379
"Andrézieux-Bouthéon, Loire",LFMH,FR,FR-ARA,45.5406,4.29639
Angelsey,EGOV,GB,GB-WLS,53.2481,-4.53534
Angers,LFJR,FR,FR-PDL,47.560299,-0.312222
Angoulême,LFBU,FR,FR-NAQ,45.729198,0.221456
Ankara,"LTAB, LTAC",TR,TR-06,40.031551,32.8679485
Annecy,LFLP,FR,FR-ARA,45.928947,6.0987
Antakya,LTDA,TR,TR-31,36.362778,36.282223
Antalya,LTAI,TR,TR-07,36.898701,30.800501
Antwerp,EBAW,BE,BE-VAN,51.190667,4.463153
Arad,LRAR,RO,RO-AR,46.176136,21.264322
Arbatax,LIET,IT,IT-88,39.9188,9.68298
Argos Orestiko,LGKA,GR,GR-C,40.446301,21.2822
Arvidsjaur,ESNX,SE,SE-BD,65.59030151367188,19.28190040588379
"Ashaig, Highland",EGEI,GB,GB-SCT,57.253131,-5.827755
Astypalaia Island,LGPL,GR,GR-L,36.5798988342,26.3757991791
Atting,EDMS,DE,DE-BY,48.900833,12.516667
Augsburg,EDMA,DE,DE-BY,48.425278,10.931667
Aurillac,LFLW,FR,FR-ARA,44.891399,2.42194
Auxerre,LFLA,FR,FR-BFC,47.850201,3.49711
Avignon,LFMV,FR,FR-PAC,43.907299,4.90183
Aydın,LTBD,TR,TR-09,37.815389,27.887566
Ağrı,LTCO,TR,TR-04,39.655642,43.025742
Babięta,EPBB,PL,PL-WN,53.667905,21.255426
Bacău,LRBC,RO,RO-BC,46.5219,26.910299
Badajoz,LEBZ,ES,ES-EX,38.8913,-6.82133
Baia Mare,LRMM,RO,RO-MM,47.659081,23.474513
"Balemartine, Argyll and Bute",EGPU,GB,GB-SCT,56.499199,-6.86917
Balice,EPKK,PL,PL-MA,50.077702,19.7848
Balivanich,EGPL,GB,GB-SCT,57.481098,-7.36278
Ballum,EHAL,NL,NL-FR,53.453612,5.678396
Baltrum,EDWZ,DE,DE-NI,53.72485,7.373257
Balıkesir,LTBF,TR,TR-10,39.619301,27.926001
Bandırma,LTBG,TR,TR-10,40.318001,27.977699
Bangor,LFEA,FR,FR-BRE,47.325256,-3.201255
Bantry,EIBN,IE,IE-CO,51.6772,-9.487123
Barcelona,LEBL,ES,ES-CT,41.2971,2.07846
Bari,LIBD,IT,IT-75,41.138901,16.760599
Barrow-in-Furness,EGNL,GB,GB-ENG,54.1286111,-3.2675
Barth,EDBH,DE,DE-MV,54.338253,12.710515
Bastia,LFKB,FR,FR-COR,42.5527,9.48373
Batman,LTCJ,TR,TR-72,37.929001,41.1166
Bazan,LBBZ,BG,BG-18,43.728429,26.119696
Beauvais,LFOB,FR,FR-HDF,49.454399,2.11278
"Bedford, Bedford",EGBF,GB,GB-ENG,52.23071,-0.463825
Beja,LPBJ,PT,PT-02,38.078899,-7.9324
Belchinski Bani,LBBB,BG,BG-23,42.374713,23.392548
Belfast,"EGAA, EGAC",GB,GB-NIR,54.63780011035,-6.0441649246199995
Belluno (BL),LIDB,IT,IT-34,46.166549,12.250389
Belmullet,EIBT,IE,IE-MO,54.2228012085,-10.0307998657
"Bembridge, Isle of Wight",EGHJ,GB,GB-ENG,50.678101,-1.10944
Bergen,ENBR,NO,NO-46,60.2934,5.21814
Bergerac,LFBE,FR,FR-NAQ,44.825298,0.518611
Berlevåg,ENBV,NO,NO-56,70.871517,29.034097
Berlin,EDDB,DE,DE-BR,52.361738,13.502341
Bern,LSZB,CH,CH-BE,46.912736,7.498819
Biarritz,LFBZ,FR,FR-NAQ,43.468372,-1.523223
Bielefeld,EDLI,DE,DE-NW,51.964722,8.544444
Bilbao,LEBB,ES,ES-PV,43.301102,-2.91061
Billund,EKBI,DK,DK-83,55.740335,9.157019
Bindlach,EDQD,DE,DE-BY,49.985001,11.64
Bingöl,LTCU,TR,TR-12,38.860131,40.594489
"Birmingham, West Midlands",EGBB,GB,GB-ENG,52.453899,-1.74803
Birr,EIBR,IE,IE-OY,53.070599,-7.897468
Bitburg,EDRB,DE,DE-RP,49.945278,6.565
Blackpool,EGNH,GB,GB-ENG,53.771702,-3.02861
Bodrum,"LTBV, LTFE",TR,TR-48,37.194706499999995,27.6668555
Bodø,ENBO,NO,NO-18,67.269203,14.3653
Bologna,LIPE,IT,IT-45,44.5354,11.2887
Bolzano (BZ),LIPB,IT,IT-32,46.459245,11.326125
Boos,LFOP,FR,FR-NOR,49.384887,1.179142
Bordeaux,LFBD,FR,FR-NAQ,44.82865,-0.715356
Borkum,EDWR,DE,DE-NI,53.59639,6.709167
Borlange,ESSD,SE,SE-W,60.422001,15.5152
Bourges,LFLD,FR,FR-CVL,47.060158,2.369633
Bournemouth,EGHH,GB,GB-ENG,50.780483,-1.839576
Braga,LPBR,PT,PT-03,41.587,-8.445189
Bragança,LPBG,PT,PT-04,41.8578,-6.70713
"Braintree, Essex",EGSL,GB,GB-ENG,51.895,0.449167
Bramsche,EDXA,DE,DE-NI,52.37722,7.913333
"Brandon, Suffolk",EGUL,GB,GB-ENG,52.40954,0.561161
Bratislava,LZIB,SK,SK-BL,48.1702,17.2127
Braunschweig,EDVE,DE,DE-NI,52.319199,10.5561
Brașov (Ghimbav),LRBV,RO,RO-BV,45.70558,25.522871
Bremen,EDDW,DE,DE-HB,53.046786,8.78932
Brest,LFRB,FR,FR-BRE,48.447899,-4.41854
"Brighton, East Sussex",EGKA,GB,GB-ENG,50.835602,-0.297222
Brindisi,LIBR,IT,IT-75,40.6576,17.947001
Bristol,EGGD,GB,GB-ENG,51.382326,-2.716453
Brive,LFSL,FR,FR-NAQ,45.039722,1.485556
Brno,LKTB,CZ,CZ-JM,49.151276,16.693972
Broughton,EGNR,GB,GB-WLS,53.178101,-2.97778
"Bréville-sur-Mer, Manche",LFRF,FR,FR-NOR,48.883099,-1.56417
Brønnøy,ENBN,NO,NO-18,65.461098,12.2175
Bucharest,LRBS,RO,RO-B,44.503133,26.102944
Budapest,"LHBP, LHHH",HU,HU-BU,47.4908415,19.1193895
Buochs,LSZC,CH,CH-NW,46.974444,8.396944
Burbach,EDGS,DE,DE-NW,50.707699,8.08297
Burgas,LBBG,BG,BG-02,42.569917,27.515173
Burgos,LEBG,ES,ES-CL,42.357601,-3.62076
Bursa,LTBE,TR,TR-16,40.233243,29.005583
"Bury Saint Edmunds, Suffolk","EGUN, EGXH",GB,GB-ENG,52.352250999999995,0.6296725000000001
Busevec,LDZB,HR,HR-01,45.647499,16.124399
Bydgoszcz,EPBY,PL,PL-KP,53.096802,17.977699
Bâle / Mulhouse,LFSB,FR,FR-GES,47.60068,7.521117
Båtsfjord,ENBS,NO,NO-56,70.60025,29.692612
Béziers,LFMU,FR,FR-OCC,43.323502,3.3539
Büren,EDLP,DE,DE-NW,51.612527,8.617459
Caen,LFRK,FR,FR-NOR,49.17678,-0.454883
Cagliari,LIEE,IT,IT-88,39.251499,9.05428
Cahors,LFCC,FR,FR-OCC,44.351398,1.47528
Calais,LFAC,FR,FR-HDF,50.962101,1.95476
Calatabiano (CT),LICN,IT,IT-82,37.799561,15.22775
Calden,EDVK,DE,DE-HE,51.418395,9.391638
Calvi,LFKC,FR,FR-COR,42.530422,8.792984
"Camberley, Surrey",EGLK,GB,GB-ENG,51.323898,-0.8475
"Cambridge, Cambridgeshire",EGSC,GB,GB-ENG,52.205002,0.175
Campbeltown,EGEC,GB,GB-SCT,55.437199,-5.68639
Campo nell'Elba (LI),LIRJ,IT,IT-52,42.760871,10.239811
Cannes,LFMD,FR,FR-PAC,43.547998,6.955176
Capannori (LU),LIQL,IT,IT-52,43.825825,10.577928
Capua,LIAU,IT,IT-72,41.116001,14.178
Caransebeş,LRCS,RO,RO-CS,45.420142,22.252507
Carcassonne,LFMK,FR,FR-OCC,43.216,2.30632
Cardiff,EGFF,GB,GB-WLS,51.396702,-3.34333
"Carlisle, Cumbria",EGNC,GB,GB-ENG,54.9375,-2.80917
"Carterton, Oxfordshire",EGVN,GB,GB-ENG,51.75,-1.58362
Cascais,LPCS,PT,PT-11,38.724998,-9.35523
Caselle (VR),LIPX,IT,IT-34,45.394955,10.887303
Caselle Torinese (TO),LIMF,IT,IT-21,45.200802,7.64963
Castellón de la Plana,LECH,ES,ES-VC,40.213889,0.073333
Castelo Branco,LPCB,PT,PT-05,39.844528,-7.439875
Castres,LFCK,FR,FR-OCC,43.556301,2.28918
Catania,LICC,IT,IT-82,37.466801,15.0664
"Chabeuil, Drôme",LFLU,FR,FR-ARA,44.9216,4.9699
Chalons en Champagne,LFOK,FR,FR-GES,48.77333,4.20611
Chambéry,LFLB,FR,FR-ARA,45.6381,5.88023
Charleroi,EBCI,BE,BE-WHT,50.461963,4.459562
Charlestown,EIKN,IE,IE-MO,53.910439,-8.817002
"Charmeil, Allier",LFLV,FR,FR-ARA,46.16969,3.403637
"Chassieu, Lyon",LFLY,FR,FR-ARA,45.727947,4.943991
Chaves,LPCH,PT,PT-17,41.722356,-7.463064
Cherbourg,LFRC,FR,FR-NOR,49.650101,-1.47028
"Chichester, West Sussex",EGHR,GB,GB-ENG,50.859832,-0.760073
Chios Island,LGHI,GR,GR-K,38.34320068359375,26.140600204467773
"Chipping Norton, Oxfordshire",EGTN,GB,GB-ENG,51.928167,-1.4285
Châteauroux,LFLX,FR,FR-CVL,46.860221,1.728326
"Cirencester, Gloucestershire",EGBP,GB,GB-ENG,51.668528,-2.056599
Ciudad Real,LERL,ES,ES-CM,38.856479,-3.969944
Clermont-Ferrand,LFLC,FR,FR-ARA,45.786701,3.16917
Clonbullogue,EICL,IE,IE-OY,53.249657,-7.122746
Clos-Fontaine,LFAI,FR,FR-IDF,48.596199,3.00679
Cluj-Napoca,LRCL,RO,RO-CJ,46.786042,23.685733
Coimbra,LPCO,PT,PT-06,40.158758,-8.470815
Colmar,LFGA,FR,FR-GES,48.109901,7.35901
"Colombier-Saugnieu, Rhône",LFLL,FR,FR-ARA,45.725996,5.090139
Comiso,LICB,IT,IT-82,36.99583,14.60889
Constanța,LRCK,RO,RO-CT,44.362202,28.4883
Copenhagen,EKCH,DK,DK-84,55.617900848389,12.656000137329
Cork,EICK,IE,IE-CO,51.841301,-8.49111
"Cormeilles-en-Vexin, Val-d'Oise",LFPT,FR,FR-IDF,49.096064,2.035543
Corvera,LEMI,ES,ES-MC,37.802852,-1.124884
Corvo,LPCR,PT,PT-20,39.671501,-31.1136
"Coventry, West Midlands",EGBE,GB,GB-ENG,52.369701,-1.47972
Craiova,LRCV,RO,RO-DJ,44.3181,23.888599
"Cranfield, Central Bedfordshire",EGTC,GB,GB-ENG,52.072201,-0.616667
"Cranleigh, Surrey",EGTD,GB,GB-ENG,51.117199,-0.535833
Crete Island,LGST,GR,GR-M,35.21609878540039,26.101299285888672
Culleredo,LECO,ES,ES-GA,43.302101,-8.37726
Córdoba,LEBA,ES,ES-AN,37.841999,-4.84888
Dalaman,LTBS,TR,TR-48,36.7131,28.7925
"Darlington, Durham",EGNV,GB,GB-ENG,54.509201,-1.42941
Daugavpils,EVDA,LV,LV-111,55.944721,26.665001
De Cocksdorp,EHTX,NL,NL-NH,53.114962,4.830552
Deauville,LFRG,FR,FR-NOR,49.365237,0.154481
Debrecen,LHDC,HU,HU-HB,47.489469,21.616278
Denizli,LTAY,TR,TR-20,37.7855987549,29.7012996674
"Derry, Derry and Strabane",EGAE,GB,GB-NIR,55.042801,-7.16111
Deventer,EHTE,NL,NL-GE,52.242764,6.050004
Dijon,LFSD,FR,FR-BFC,47.268902,5.09
Dinard,LFRD,FR,FR-BRE,48.5877,-2.07996
Diyarbakır,LTCC,TR,TR-21,37.893902,40.201
Dole,LFGJ,FR,FR-BFC,47.038955,5.427589
Dolný Hričov,LZZI,SK,SK-ZI,49.233292,18.613386
Donegal,EIDL,IE,IE-DL,55.0442008972168,-8.340999603271484
Dortmund,EDLW,DE,DE-NW,51.518299,7.61224
Dreschvitz,EDCG,DE,DE-MV,54.38347,13.325542
Dresden,EDDC,DE,DE-SN,51.134123,13.767831
Dublin,EIDW,IE,IE-D,53.428713,-6.262121
Dubová,LZDV,SK,SK-BL,48.347019,17.356583
Dubrovnik,LDDU,HR,HR-19,42.562247,18.265543
Dundee,EGPN,GB,GB-SCT,56.452499,-3.02583
"Duxford, Cambridgeshire",EGSU,GB,GB-ENG,52.090801,0.131944
Düsseldorf,EDDL,DE,DE-NW,51.289501,6.76678
Ebermannstadt,EDQE,DE,DE-BY,49.794167,11.133611
Eday,EGED,GB,GB-SCT,59.19060134887695,-2.7722198963165283
Edinburgh,EGPH,GB,GB-SCT,55.950145,-3.372288
Edremit,LTFD,TR,TR-10,39.552533,27.010192
Egelsbach,EDFE,DE,DE-HE,49.96,8.643043
Eindhoven,EHEH,NL,NL-NB,51.4500999451,5.37452983856
El Hierro Island,GCHI,ES,ES-CN,27.8148,-17.8871
El Matorral,GCFV,ES,ES-CN,28.4527,-13.8638
Elazığ,LTCA,TR,TR-23,38.597974,39.28348
Emden,EDWE,DE,DE-NI,53.391109,7.2275
"Enniskillen, Fermanagh and Omagh",EGAB,GB,GB-NIR,54.398274,-7.651179
Enontekio,EFET,FI,FI-10,68.362602233887,23.424299240112
Enschede,EHTW,NL,NL-OV,52.275833,6.889167
Eoligarry,EGPR,GB,GB-SCT,57.0228,-7.44306
Erfurt,EDDE,DE,DE-TH,50.978281,10.960713
"Errouville, Meurthe-et-Moselle",LFAW,FR,FR-GES,49.410424,5.889301
Erzincan,LTCD,TR,TR-24,39.7102012634,39.527000427199994
Erzurum,LTCE,TR,TR-25,39.956501,41.1702
Esbjerg,EKEB,DK,DK-83,55.525902,8.5534
Eskilstuna,ESSU,SE,SE-D,59.351101,16.708401
Eskişehir,LTBY,TR,TR-26,39.811644,30.519268
Essen,EDLE,DE,DE-NW,51.402302,6.93733
Evenes,ENEV,NO,NO-18,68.491302,16.678101
"Exeter, Devon",EGTE,GB,GB-ENG,50.734261,-3.413984
Fair Isle,EGEF,GB,GB-SCT,59.534721,-1.628509
"Fairford, Gloucestershire",EGVA,GB,GB-ENG,51.683568,-1.789172
Falconara Marittima (AN),LIPY,IT,IT-57,43.616299,13.3623
"Farnborough, Hampshire",EGLF,GB,GB-ENG,51.275799,-0.776333
Faro,LPFR,PT,PT-08,37.015909,-7.970939
Farranfore,EIKY,IE,IE-KY,52.180901,-9.52378
Feldkirchen bei Graz,LOWG,AT,AT-6,46.9911,15.4396
Ferno (VA),LIMC,IT,IT-25,45.6306,8.72811
Figari,LFKF,FR,FR-COR,41.50185,9.097092
Fingal,EIBB,IE,IE-D,53.505556,-6.237778
Firenze (FI),LIRQ,IT,IT-52,43.808558,11.202822
Firnplateau,LSVP,CH,CH-BE,46.468889,7.828333
