Nuremberg, DE: DE254 (Nürnberg, Kreisfreie Stadt)
Nowe Kramsko, PL: PL432 (Zielonogórski)
El Matorral, ES: ES704 (Fuerteventura)
Visby, SE: SE214 (Gotlands län)
Edremit, TR: TR221 (Balıkesir)
Pamplona, ES: ES220 (Navarra)
Istanbul, TR: TR100 (İstanbul)
Antalya, TR: TR611 (Antalya)
Antwerp, BE: BE211 (Arr. Antwerpen)
Leirvik, NO: NO0A2 (Vestland)
Gaziemir, TR: TR310 (İzmir)
Paphos, CY: CY000 (Kypros)
Ampugnano (SI), IT: ITI19 (Siena)
Balice, PL: PL213 (Miasto Kraków) or PL214 (Krakowski)
Copenhagen, DK: DK011 (Byen København)
Dublin, IE: IE061 (Dublin)
Siljansnäs, SE: SE312 (Dalarnas län)
Valletta, MT: MT001 (Malta)
Aix en Provence, FR: FRL04 (Bouches-du-Rhône)
Jyväskylän Maalaiskunta, FI: FI1D5 (Keski-Suomi)
Helsinki (Vantaa), FI: FI1B1 (Helsinki-Uusimaa)
Farranfore, IE: IE053 (South-West)
Oulu / Oulunsalo, FI: FI1D9 (Pohjois-Pohjanmaa)
Zurich, CH: CH040 (Zürich)
Samsun, TR: TR831 (Samsun)
Kaunas, LT: LT022 (Kauno apskritis)
Vaasa, FI: FI195 (Pohjanmaa)
Warsaw, PL: PL911 (Miasto Warszawa)
Prague, CZ: CZ010 (Hlavní město Praha)
Oostende, BE: BE255 (Arr. Oostende)
Rhodes, GR: EL422 (Rhodes, Kos, Kalymnos, Karpathos, Kasos, Astypalaia, Leipsoi, Leros, Patmos, Symi, Tilos, Chalki)
Busevec, HR: HR065 (Zagrebačka županija)
Vila Baleira, PT: PT300 (Região Autónoma da Madeira)
Sečovlje, SI: SI044 (Obalno-kraška)
Alexandroupolis, GR: EL111 (Evros)
Bacău, RO: RO211 (Bacău)
Munich, DE: DE212 (München, Kreisfreie Stadt)
Bazan, BG: BG323 (Ruse)
Tampere / Pirkkala, FI: FI1D7 (Pirkanmaa)
Palanga, LT: LT023 (Klaipėdos apskritis)
Kithira Island, GR: EL307 (Peiraias, Nísoi)
Kuressaare, EE: EE004 (Lääne-Eesti)
Vienna, AT: AT130 (Wien)
Rørvik, NO: NO082 (Trøndelag)
Limnos Island, GR: EL411 (Lesvos, Limnos)
Zgornji Brnik, SI: SI042 (Gorenjska)
Szymany, PL: PL622 (Olsztyński)
Kefallinia Island, GR: EL622 (Ithaki, Kefallinia)
Mahón (Maó), ES: ES533 (Menorca)
Larnaca, CY: CY000 (Kypros)
Ranón, ES: ES120 (Asturias)
Palma de Mallorca, ES: ES531 (Mallorca)
Eskişehir, TR: TR411 (Eskişehir)
Turku, FI: FI1C1 (Varsinais-Suomi)
Vilnius, LT: LT011 (Vilniaus apskritis)
Timişoara, RO: RO424 (Timiş)
Tymbou (Kirklar), CY: CY000 (Kypros)
Trabzon, TR: TR901 (Trabzon)
Kokkola / Kruunupyy, FI: FI1D5 (Keski-Pohjanmaa)
Constanța, RO: RO223 (Constanța)
La Virgen Del Camino, ES: ES413 (León)
Spata-Artemida, GR: EL305 (Anatoliki Attiki)
Erzurum, TR: TRA11 (Erzurum)
Jasionka, PL: PL823 (Rzeszowski)
Geneva, CH: CH013 (Genève)
Mytilene, GR: EL411 (Lesvos, Limnos)
Levaldigi (CN), IT: ITC16 (Cuneo)
Lisbon, PT: PT170 (Grande Lisboa)
Mehamn, NO: NO0B2 (Finnmark)
Bucharest, RO: RO321 (Bucureşti)
Borlange, SE: SE312 (Dalarnas län)
Pori, FI: FI1C2 (Satakunta)
Kajaani, FI: FI1D8 (Kainuu)
Skiros Island, GR: EL242 (Euboea)
Çanakkale, TR: TR222 (Çanakkale)
Savonlinna, FI: FI1D7 (Etelä-Savo)
Sindal, DK: DK050 (Nordjylland)
Hoeven, NL: NL411 (West-Noord-Brabant)
Lappeenranta, FI: FI1C5 (Etelä-Karjala)
Šiauliai, LT: LT024 (Šiaulių apskritis)
Sofia, BG: BG411 (Sofia stolitsa)
Mikkeli, FI: FI1D7 (Etelä-Savo)
Charlestown, IE: IE042 (West)
Chalons en Champagne, FR: FRF21 (Marne)
Île d'Yeu, FR: FRG05 (Vendée)
Yenişehir, TR: TR412 (Bursa)
Florø, NO: NO0A2 (Vestland)
Babięta, PL: PL622 (Olsztyński)
Astypalaia Island, GR: EL422 (Rhodes, Kos, Kalymnos, Karpathos, Kasos, Astypalaia, Leipsoi, Leros, Patmos, Symi, Tilos, Chalki)
