nut3_code,pps,pps_per_inhabitant
AT,436203.37,47500.0
AT1,188494.63,46600.0
AT11,10384.18,34400.0
AT12,67871.36,39300.0
AT13,110239.09,54600.0
AT2,81392.73,44200.0
AT21,24957.83,43800.0
AT22,56434.9,44400.0
AT3,166169.48,50500.0
AT31,72868.24,47500.0
AT32,33250.22,58100.0
AT33,39556.06,50900.0
AT34,20493.98,49900.0
ATZ,145.55,
ATZZ,145.55,
BE,552398.59,46600.0
BE1,96318.34,76000.0
BE10,96318.34,76000.0
BE100,96318.34,76000.0
BE2,327282.31,47700.0
BE21,104879.96,54100.0
BE211,60211.63,54900.0
BE212,18707.56,51800.0
BE213,25960.78,53800.0
BE22,34047.37,37500.0
BE223,5711.43,27100.0
BE224,19722.76,45400.0
BE225,8613.19,33000.0
BE23,69707.48,44100.0
BE231,9217.11,30100.0
BE232,6861.72,33000.0
BE233,2903.14,32400.0
BE234,34526.74,59400.0
BE235,4459.59,34700.0
BE236,11739.18,44000.0
BE24,61148.61,50900.0
BE241,37702.13,56100.0
BE242,23446.48,44300.0
BE25,57498.88,46700.0
BE251,13890.71,48300.0
BE252,1753.83,33300.0
BE253,4826.1,44400.0
BE254,15163.79,49900.0
BE255,6380.09,39700.0
BE256,7815.23,48700.0
BE257,5006.45,52200.0
BE258,2662.67,43200.0
BE3,128623.39,34600.0
BE31,25731.53,61900.0
BE310,25731.53,61900.0
BE32,39349.2,28800.0
BE323,7947.57,30400.0
BE328,8227.89,36100.0
BE329,3057.12,21400.0
BE32A,3404.25,26000.0
BE32B,11677.88,29000.0
BE32C,3000.55,27600.0
BE32D,2033.95,21900.0
BE33,38664.49,34200.0
BE331,4009.35,34500.0
BE332,23542.61,37000.0
BE334,1975.31,23500.0
BE335,6551.98,30700.0
BE336,2585.24,32300.0
BE34,8655.89,28900.0
BE341,1849.96,27800.0
BE342,1377.78,26400.0
BE343,2080.78,35400.0
BE344,2176.12,32700.0
BE345,1171.25,21200.0
BE35,16222.29,31900.0
BE351,2918.98,25400.0
BE352,11784.24,36100.0
BE353,1519.07,22300.0
BEZ,174.55,
BEZZ,174.55,
BEZZZ,174.55,
BG,169565.21,26300.0
BG3,60882.16,19500.0
BG31,10997.07,16700.0
BG311,953.35,13400.0
BG312,1437.74,12700.0
BG313,3508.56,23900.0
BG314,3441.06,15900.0
BG315,1656.36,14900.0
BG32,11694.7,17300.0
BG321,3666.7,18200.0
BG322,1933.09,20500.0
BG323,3511.31,18800.0
BG324,1471.09,14700.0
BG325,1112.51,11800.0
BG33,16709.47,20200.0
BG331,10708.76,24600.0
BG332,2158.4,14800.0
BG333,2239.47,15000.0
BG334,1602.85,16800.0
BG34,21480.91,22600.0
BG341,7469.29,19300.0
BG342,1839.8,10800.0
BG343,1696.02,16000.0
BG344,10475.81,36200.0
BG4,108683.05,32700.0
BG41,86051.43,42600.0
BG411,74017.48,57300.0
BG412,4690.82,20800.0
BG413,4273.46,14900.0
BG414,1624.63,14700.0
BG415,1445.04,13500.0
BG42,22631.62,17300.0
BG421,13497.03,21300.0
BG422,2465.39,11900.0
BG423,3289.86,14700.0
BG424,1408.66,15400.0
BG425,1970.68,13300.0
CY,38456.71,39500.0
CY0,38456.71,39500.0
CY00,38456.71,39500.0
CY000,38456.71,39500.0
CZ,394147.96,36200.0
CZ0,394147.96,36200.0
CZ01,106400.06,76600.0
CZ010,106400.06,76600.0
CZ02,48802.57,33400.0
CZ020,48802.57,33400.0
CZ03,38137.29,30100.0
CZ031,19076.76,29200.0
CZ032,19060.52,31100.0
CZ04,26919.5,24400.0
CZ041,6612.23,22500.0
CZ042,20307.27,25100.0
CZ05,45941.71,29900.0
CZ051,12381.26,27500.0
CZ052,17406.81,31300.0
CZ053,16153.64,30500.0
CZ06,58469.68,33500.0
CZ063,15635.85,30200.0
CZ064,42833.83,34900.0
CZ07,35813.02,29600.0
CZ071,18525.92,29300.0
CZ072,17287.1,29800.0
CZ08,33664.13,28400.0
CZ080,33664.13,28400.0
DE,3874110.67,46400.0
DE1,586598.96,52200.0
DE11,255408.23,61300.0
DE12,141185.27,49600.0
DE13,97354.38,41900.0
DE14,92651.08,48700.0
DE2,713549.85,54000.0
DE21,321404.66,67700.0
DE22,56498.75,45000.0
DE23,54742.25,48900.0
DE24,46005.1,43600.0
DE25,90458.3,50400.0
DE26,60758.55,46100.0
DE27,83682.16,43400.0
DE3,186012.31,50600.0
DE30,186012.31,50600.0
DE4,87550.33,34300.0
DE40,87550.33,34300.0
DE5,37071.24,52700.0
DE50,37071.24,52700.0
DE6,145498.12,78300.0
DE60,145498.12,78300.0
DE7,331885.46,52900.0
DE71,238706.71,59200.0
DE72,41449.99,39800.0
DE73,51728.86,43100.0
DE8,55121.33,35000.0
DE80,55121.33,35000.0
DE9,343173.24,42900.0
DE91,81963.89,51500.0
DE92,94931.01,44700.0
DE93,58096.78,33700.0
DE94,108181.47,42100.0
DEA,783446.46,43500.0
DEA1,242818.32,46300.0
DEA2,211852.69,47300.0
DEA3,100974.47,38000.0
DEA4,87749.9,42300.0
DEA5,140051.08,39200.0
DEB,165455.47,40100.0
DEB1,58223.04,38100.0
DEB2,18482.81,35100.0
DEB3,88749.62,42800.0
DEC,38264.11,37800.0
DEC0,38264.11,37800.0
DED,145169.72,35900.0
DED2,58113.77,36600.0
DED4,45440.67,32700.0
DED5,41615.28,38900.0
