icao_code,name,type,iso_country,iso_region,municipality,latitude_deg,longitude_deg
LBBB,Belchinski Bani Airstrip,small_airport,BG,BG-23,Belchinski Bani,42.374713,23.392548
EDVQ,Wilsche Glider Field,small_airport,DE,DE-NI,Gifhorn,52.524677,10.462597
EDTA,Bohlhof Glider Field,small_airport,DE,DE-BW,Wutöschingen,47.6509,8.3867
EDSF,Hütten Glider Field,small_airport,DE,DE-BW,Rickenbach,47.6333,7.9412
EDKS,Iserlohn-Sümmern Glider Field,small_airport,DE,DE-NW,Iserlohn,51.436389,7.699722
EBAW,Antwerp International Airport (Deurne),medium_airport,BE,BE-VAN,Antwerp,51.190667,4.463153
EBBR,Brussels Airport,large_airport,BE,BE-VBR,Zaventem,50.901402,4.48444
EBCI,Brussels South Charleroi Airport,large_airport,BE,BE-WHT,Charleroi,50.461963,4.459562
EBKT,Flanders International Airport Kortrijk-Wevelgem,medium_airport,BE,BE-VWV,Wevelgem,50.818878,3.209551
EBLG,Liège Airport,medium_airport,BE,BE-WLG,Grâce-Hollogne,50.638574,5.443897
EBOS,Ostend-Bruges International Airport,large_airport,BE,BE-VWV,Oostende,51.1998,2.874673
EDAC,Leipzig–Altenburg Airport,medium_airport,DE,DE-TH,Nobitz,50.981945,12.506389
EDAH,Heringsdorf Airport,medium_airport,DE,DE-MV,Zirchow,53.8787,14.1523
EDAI,Sonderlandeplatz Segeletz,small_airport,DE,DE-BR,Neustadt,52.826668,12.541944
EDAU,Riesa-Göhlis Airport,small_airport,DE,DE-SN,Riesa,51.29361,13.356111
EDAX,Müritz Airpark,small_airport,DE,DE-MV,Lärz,53.306389,12.752222
EDBC,Cochstedt Airport,small_airport,DE,DE-ST,Hecklingen,51.8564,11.4203
EDBH,Stralsund-Barth Airport,small_airport,DE,DE-MV,Barth,54.338253,12.710515
EDBN,Neubrandenburg Trollenhagen Airport,medium_airport,DE,DE-MV,Trollenhagen,53.6022,13.306
EDCG,Rügen Airport,small_airport,DE,DE-MV,Dreschvitz,54.38347,13.325542
EDCK,Köthen Airport,small_airport,DE,DE-ST,Köthen (Anhalt),51.723745,11.948826
EDCP,Peenemünde Airport,small_airport,DE,DE-MV,Peenemünde,54.15778,13.774444
EDDB,Berlin Brandenburg Airport,large_airport,DE,DE-BR,Berlin,52.361738,13.502341
EDDC,Dresden Airport,large_airport,DE,DE-SN,Dresden,51.134123,13.767831
EDDE,Erfurt-Weimar Airport,large_airport,DE,DE-TH,Erfurt,50.978281,10.960713
EDDF,Frankfurt Main Airport,large_airport,DE,DE-HE,Frankfurt am Main,50.026706,8.55835
EDDG,Münster Osnabrück Airport,large_airport,DE,DE-NW,Greven,52.133816,7.688482
EDDH,Hamburg Helmut Schmidt Airport,large_airport,DE,DE-HH,Hamburg,53.630402,9.98823
EDDK,Cologne Bonn Airport,large_airport,DE,DE-NW,Köln (Cologne),50.865898,7.14274
EDDL,Düsseldorf Airport,large_airport,DE,DE-NW,Düsseldorf,51.289501,6.76678
EDDM,Munich Airport,large_airport,DE,DE-BY,Munich,48.353802,11.7861
EDDN,Nuremberg Airport,large_airport,DE,DE-BY,Nuremberg,49.498699,11.078056
EDDP,Leipzig/Halle Airport,large_airport,DE,DE-SN,Schkeuditz,51.420657,12.232705
EDDR,Saarbrücken Airport,large_airport,DE,DE-SL,Saarbrücken,49.217562,7.111667
EDDS,Stuttgart Airport,large_airport,DE,DE-BW,Stuttgart,48.689899,9.22196
EDDV,Hannover Airport,large_airport,DE,DE-NI,Hannover,52.461102,9.68508
EDDW,Bremen Airport,large_airport,DE,DE-HB,Bremen,53.046786,8.78932
EDEP,Heppenheim Glider Field,small_airport,DE,DE-HE,Heppenheim,49.621944,8.624444
EDFE,Frankfurt-Egelsbach Airport,medium_airport,DE,DE-HE,Egelsbach,49.96,8.643043
EDFH,Frankfurt-Hahn Airport,large_airport,DE,DE-RP,Frankfurt am Main (Lautzenhausen),49.946353,7.261734
EDFM,Mannheim-City Airport,medium_airport,DE,DE-BW,Mannheim,49.473057,8.514167
EDGE,Eisenach-Kindel Airport,medium_airport,DE,DE-TH,Hörselberg-Hainich,50.991604,10.47973
EDGS,Siegerland Airport,medium_airport,DE,DE-NW,Burbach,50.707699,8.08297
EDHI,Hamburg-Finkenwerder Airport,medium_airport,DE,DE-HH,Hamburg,53.5352783203125,9.835556030273438
EDHK,Kiel-Holtenau Airport,medium_airport,DE,DE-SH,Kiel,54.37957,10.145266
EDHL,Lübeck Blankensee Airport,medium_airport,DE,DE-SH,Lübeck,53.805401,10.7192
EDHN,Neumünster Airport,small_airport,DE,DE-SH,Neumünster,54.079445,9.941389
EDJA,Memmingen Allgau Airport,large_airport,DE,DE-BY,Memmingen,47.988092,10.238248
EDKA,Aachen-Merzbrück Airport,small_airport,DE,DE-NW,Aachen,50.823055,6.186389
EDLE,Essen-Mülheim Airport,small_airport,DE,DE-NW,Essen,51.402302,6.93733
EDLI,Bielefeld Airport,medium_airport,DE,DE-NW,Bielefeld,51.964722,8.544444
EDLN,Mönchengladbach Airport,medium_airport,DE,DE-NW,Mönchengladbach,51.230278,6.504444
EDLP,Paderborn Lippstadt Airport,large_airport,DE,DE-NW,Büren,51.612527,8.617459
EDLV,Weeze (Niederrhein) Airport,large_airport,DE,DE-NW,Weeze,51.601362,6.141228
EDLW,Dortmund Airport,large_airport,DE,DE-NW,Dortmund,51.518299,7.61224
EDMA,Augsburg Airport,medium_airport,DE,DE-BY,Augsburg,48.425278,10.931667
EDMO,Oberpfaffenhofen Airport,medium_airport,DE,DE-BY,Weßling,48.081402,11.2831
EDMS,Straubing Airport,small_airport,DE,DE-BY,Atting,48.900833,12.516667
EDNY,Bodensee Airport Friedrichshafen,large_airport,DE,DE-BW,Friedrichshafen,47.671299,9.51149
EDQD,Bayreuth Airport,medium_airport,DE,DE-BY,Bindlach,49.985001,11.64
EDQE,Burg Feuerstein Airport,small_airport,DE,DE-BY,Ebermannstadt,49.794167,11.133611
EDQG,Giebelstadt Airport,small_airport,DE,DE-BY,Giebelstadt,49.6480560303,9.966388702390002
