id,target,degree,weighted_degree,clustering,pagerank,betweenness,closeness,core_number,avg_neighbor_degree,iso_country,latitude,longitude
"Tymbou (Kirklar), CY",medium,6,367,0.8,0.0021300186298109465,0.0,0.3760245901639344,5,37.333333333333336,CY,35.153064,33.507352
"Warsaw, PL",large,100,2543,0.43656565656565655,0.013398886024906348,0.004842000790456547,0.5698757763975155,38,70.43,PL,52.217449,20.9371515
"Saint-Nazaire/Montoir, FR",small,3,29,0.3333333333333333,0.0008105565276899282,0.0,0.38189386056191466,2,58.0,FR,47.31142,-2.152634
"Skellefteå, SE",medium,5,55,0.4,0.0006903388072966787,0.00137017247291298,0.3855042016806723,4,58.2,SE,64.62480163574219,21.076900482177734
"Memmingen, DE",medium,40,158,0.5448717948717948,0.0014444528761990599,0.007644906916574564,0.4993197278911565,31,81.8,DE,47.988092,10.238248
"Blackpool, GB",small,12,16,0.19696969696969696,0.0005872576045103228,0.0009719511590894942,0.4105145413870246,11,43.083333333333336,GB,53.771702,-3.02861
"Southend-on-Sea, Essex, GB",medium,24,91,0.6123188405797102,0.0008585882588940518,0.000831062302678039,0.47911227154047,23,89.83333333333333,GB,51.570562,0.693627
"Staverton, Gloucestershire, GB",small,14,19,0.27472527472527475,0.0007090960693541411,0.002448804755702062,0.4448484848484848,11,53.142857142857146,GB,51.894199,-2.16722
"Foggia (FG), IT",small,4,22,0.5,0.0005141399785244364,0.00012305936154092642,0.3933547695605573,4,81.0,IT,41.433596,15.534566
"Brno, CZ",medium,21,52,0.5,0.0007246601465108985,0.002261429855447833,0.45875,19,80.66666666666667,CZ,49.151276,16.693972
"Pisa (PI), IT",medium,56,312,0.462987012987013,0.002139750506038891,0.005897455561248519,0.5076071922544951,35,76.39285714285714,IT,43.683899,10.3927
"Akrotiri, CY",small,5,33,0.6,0.001799328964077962,0.0004462048226410796,0.42427745664739885,5,99.6,CY,34.590401,32.9879
"Chassieu, Lyon, FR",medium,41,69,0.3951219512195122,0.0011668700480962394,0.015286346278924303,0.5006821282401092,28,70.3170731707317,FR,45.727947,4.943991
"Capannori (LU), IT",small,20,51,0.6947368421052632,0.0006515734810017401,0.006457167511177499,0.46514575411913817,18,96.95,IT,43.825825,10.577928
"Napoli, IT",medium,38,139,0.7140825035561877,0.0010370146548898517,0.00533653711033774,0.4946091644204852,33,93.60526315789474,IT,40.886002,14.2908
"Riga, LV",large,62,838,0.5928080380750925,0.004630727212682198,0.001570669880691977,0.5349854227405247,38,83.03225806451613,LV,56.955926000000005,24.022856
"Oslo (Gardermoen), NO",large,83,2555,0.4572436085806641,0.01395214902149422,0.01953824418239389,0.558599695585997,38,72.71084337349397,NO,60.193901,11.1004
"Győr, HU",small,9,10,0.19444444444444445,0.0006157565480297287,0.005217506595541656,0.4118967452300786,8,57.77777777777778,HU,47.628436,17.804718
"Palanga, LT",small,8,60,0.9642857142857143,0.0006710611237222893,0.0,0.43380614657210403,8,106.0,LT,55.973202,21.093901
"Ponta Delgada, PT",medium,6,34,0.7333333333333333,0.000555776454258943,1.8476632136345365e-05,0.40914158305462656,6,83.66666666666667,PT,37.7411994934,-25.6979007721
"Hradec Králové, CZ",small,6,6,0.26666666666666666,0.0005273573911500097,0.0004301051957417524,0.3725888324873096,5,35.833333333333336,CZ,50.253201,15.8452
"Faro, PT",large,77,663,0.4805194805194805,0.0036301335360365795,0.010442849594474274,0.5365497076023392,38,75.57142857142857,PT,37.015909,-7.970939
"Newcastle upon Tyne, Tyne and Wear, GB",large,62,534,0.5029085140137494,0.003272939138578978,0.010491716345364157,0.5227920227920227,38,78.5,GB,55.037958,-1.689577
"Caselle Torinese (TO), IT",large,70,608,0.4575569358178054,0.0035980024201608413,0.009597295067515027,0.5311143270622286,38,74.04285714285714,IT,45.200802,7.64963
"London, GB",large,203,11682,0.20450665756230796,0.0579901723349933,0.02855427562841903,0.6898496240601504,38,48.46305418719212,GB,51.50920626285,-0.042626875149012505
"Beja, PT",small,2,3,0.0,0.0004406012306206887,0.0,0.37991718426501037,2,78.5,PT,38.078899,-7.9324
"Genova (GE), IT",medium,33,171,0.4431818181818182,0.0013219120835477696,0.007075513401919586,0.48673740053050396,24,74.15151515151516,IT,44.412039,8.840732
"Cardiff, GB",medium,28,153,0.47619047619047616,0.0013176301270253917,0.0005185051779143513,0.4797385620915033,22,75.96428571428571,GB,51.396702,-3.34333
"Reggio Calabria, IT",medium,17,116,0.6691176470588235,0.0009536721170224876,0.0002361446731279049,0.4459295261239368,16,83.3529411764706,IT,38.071201,15.6516
"Leirvik, NO",small,1,28,0.0,0.0005375354164680241,0.0,0.3587487781036168,1,83.0,NO,59.791901,5.34085
"Almería, ES",medium,16,122,0.43333333333333335,0.0010588108811626904,0.006113087061419062,0.44323671497584544,12,64.0625,ES,36.843899,-2.3701
"Norwich, Norfolk, GB",medium,19,91,0.5263157894736842,0.000984305101465866,0.0014004334439694734,0.4669211195928753,16,86.15789473684211,GB,52.6758,1.28278
"Glasgow, GB",large,55,862,0.501010101010101,0.00443483079837959,0.01001197180239915,0.5118549511854951,37,78.32727272727273,GB,55.871899,-4.43306
"Sylt, DE",small,16,24,0.5416666666666666,0.0006601399566812048,0.0033076533230604805,0.4633838383838384,14,82.25,DE,54.9132,8.34047
"Dresden, DE",medium,32,140,0.3850806451612903,0.0012372751223255051,0.005580336940717531,0.4735483870967742,25,68.25,DE,51.134123,13.767831
"Rimini (RN), IT",small,9,11,0.4444444444444444,0.0004811146259393146,0.0005383438808876338,0.41657207718501704,9,80.44444444444444,IT,44.020024,12.612198
"Dole, FR",small,7,10,0.3333333333333333,0.0004952124756147304,0.0009531919285813542,0.40687361419068735,7,55.142857142857146,FR,47.038955,5.427589
"Ordu, TR",small,4,43,0.5,0.0006916682907879656,7.397951765955627e-05,0.3760245901639344,4,50.5,TR,40.966872,38.085995
"Dublin, IE",large,121,3366,0.38126721763085397,0.016495106937199945,0.005050650917768422,0.5909822866344605,38,66.06611570247934,IE,53.428713,-6.262121
"Inverness, GB",medium,11,119,0.6545454545454545,0.0009438020754220516,8.139767378735772e-05,0.43638525564803804,11,88.45454545454545,GB,57.5425,-4.0475
"Kokkola / Kruunupyy, FI",small,1,22,0.0,0.0005164128413855119,0.0,0.35153256704980845,1,72.0,FI,63.721199,23.143101
"Montpellier/Méditerranée, FR",medium,28,163,0.38095238095238093,0.001499479119203911,0.005275523116837906,0.47416020671834624,20,63.67857142857143,FR,43.576199,3.96301
"Ranón, ES",medium,19,104,0.7076023391812866,0.0009165605436868275,0.00015303256148224055,0.4639696586599241,17,95.78947368421052,ES,43.563599,-6.03462
"Falconara Marittima (AN), IT",medium,13,65,0.8333333333333334,0.0007072508483381575,0.00018784751545613813,0.45703611457036114,13,108.92307692307692,IT,43.616299,13.3623
"Lübeck, DE",small,16,29,0.4583333333333333,0.0006596491045555929,0.002101640259583557,0.4525277435265105,14,73.25,DE,53.805401,10.7192
"Madrid, ES",large,135,4950,0.3215035931453842,0.025443604704479362,0.007955751261044895,0.6046128500823723,38,60.51851851851852,ES,40.432053999999994,-3.6786944999999998
"Retford, Nottinghamshire, GB",small,8,8,0.25,0.0005700767373186218,0.002028428078138641,0.4237875288683603,7,61.375,GB,53.280602,-0.951389
"Prestwick, South Ayrshire, GB",medium,27,60,0.4415954415954416,0.0008199550536090766,0.005517489544336523,0.47416020671834624,21,73.85185185185185,GB,55.501499,-4.577182
"Bordeaux, FR",large,56,642,0.577922077922078,0.0035699098343734527,0.0033620790352802132,0.5140056022408963,37,82.57142857142857,FR,44.82865,-0.715356
"Forlì (FC), IT",small,7,14,0.5714285714285714,0.00048637777829540205,0.0004670223271054742,0.40914158305462656,7,72.71428571428571,IT,44.194801,12.0701
"Brest, FR",medium,16,124,0.5166666666666667,0.0013145509316366895,0.00014742198929340938,0.4564676616915423,13,75.5,FR,48.447899,-4.41854
"Melilla, ES",medium,12,83,0.5757575757575758,0.0008218661181624328,0.002974801716648335,0.4369047619047619,11,81.08333333333333,ES,35.2798,-2.95626
"Bacău, RO",small,10,28,0.5333333333333333,0.0005452324412818223,0.00042909978774433076,0.42038946162657503,9,82.3,RO,46.5219,26.910299
"L'Hôpital-le-Mercier, Saône-et-Loire, FR",small,7,12,0.5238095238095238,0.00067379844050307,0.0001305977124553268,0.37679671457905545,7,35.0,FR,46.414019,4.014177
"Le Mans, Sarthe, FR",small,4,10,0.3333333333333333,0.00046226098100727556,7.664804132817347e-06,0.40065502183406115,4,87.0,FR,47.948604,0.201702
"Valencia, ES",large,70,617,0.5229813664596273,0.003329157327541443,0.006579517032129632,0.5257879656160458,38,76.7,ES,39.489162,-0.480961
"Alava, ES",medium,16,36,0.775,0.0005734819103677055,0.0005896841269606787,0.4503067484662577,16,87.625,ES,42.882801,-2.72447
"Frankfurt am Main (Lautzenhausen), DE",medium,32,125,0.38306451612903225,0.0010753793615145139,0.0022382065518072943,0.4766233766233766,24,68.09375,DE,49.946353,7.261734
"Copenhagen, DK",large,97,3687,0.4536082474226804,0.01810122104927115,0.003555297995264459,0.5654853620955316,38,71.82474226804123,DK,55.617900848389,12.656000137329
"Saint-Tropez, FR",medium,19,31,0.5380116959064327,0.0006855173365002633,0.004279302924509848,0.46514575411913817,16,84.47368421052632,FR,43.205399,6.482
"Málaga, ES",large,136,2310,0.28420479302832247,0.012520731789046837,0.022670701476016047,0.6036184210526315,38,57.86029411764706,ES,36.6749,-4.49911
"Oostende, BE",medium,24,55,0.6268115942028986,0.0006987708771794779,0.0048994866200876355,0.48353096179183136,23,94.58333333333333,BE,51.1998,2.874673
"Weert, NL",small,10,10,0.5555555555555556,0.0004948586322292591,0.0011973742222968463,0.4369047619047619,9,83.0,NL,51.255299,5.60139
"Caen, FR",medium,8,33,0.6071428571428571,0.0006128037104646874,9.373901950646763e-05,0.4046306504961411,8,64.25,FR,49.17678,-0.454883
"Wiener Neustadt, AT",small,7,11,0.3333333333333333,0.0007539890165171028,0.0005372504401887816,0.3783505154639175,6,40.142857142857146,AT,47.8401165,16.2409685
"Kos Island, GR",medium,3,56,0.3333333333333333,0.000706193715646081,0.0,0.36663336663336665,3,59.0,GR,36.794523,27.09115
"Weßling, DE",medium,48,69,0.375886524822695,0.0011454771102371193,0.019478744024912942,0.49195710455764075,30,65.22916666666667,DE,48.081402,11.2831
"Kiruna, SE",small,5,16,0.8,0.0004850678670901218,0.0004818393532421601,0.4142212189616253,5,102.0,SE,67.821999,20.3368
"King's Lynn, Norfolk, GB",small,3,3,0.0,0.0004726094176663155,0.00011980741210622383,0.33515981735159817,3,20.666666666666668,GB,52.648395,0.550692
"Montichiari (BS), IT",small,21,33,0.6047619047619047,0.0005895955902671522,0.006165129061716379,0.46573604060913704,20,90.42857142857143,IT,45.428902,10.3306
"Tarbes/Lourdes/Pyrénées, FR",medium,13,41,0.6282051282051282,0.0006357815592328111,0.0008903524637885029,0.45590062111801244,13,92.3076923076923,FR,43.178699,-0.006439
"Pau/Pyrénées (Uzein), FR",medium,5,83,0.7,0.0008285443921159308,0.0001827841751019875,0.4189497716894977,5,94.6,FR,43.380001,-0.418611
