id,name,iso_country,iso_region,latitude,longitude,airports,airports_count,node_degree,node_type,weighted_degree
"Tymbou (Kirklar), CY",Tymbou (Kirklar),CY,CY-02,35.153064,33.507352,LCEN,1,6,medium,367
"Warsaw, PL",Warsaw,PL,PL-MZ,52.217449,20.9371515,"EPBC, EPWA",2,101,large,2552
"Saint-Nazaire/Montoir, FR",Saint-Nazaire/Montoir,FR,FR-PDL,47.31142,-2.152634,LFRZ,1,3,small,29
"Skellefteå, SE",Skellefteå,SE,SE-AC,64.62480163574219,21.076900482177734,ESNS,1,5,medium,55
"Memmingen, DE",Memmingen,DE,DE-BY,47.988092,10.238248,EDJA,1,40,medium,158
"Blackpool, GB",Blackpool,GB,GB-ENG,53.771702,-3.02861,EGNH,1,12,small,16
"Southend-on-Sea, Essex, GB","Southend-on-Sea, Essex",GB,GB-ENG,51.570562,0.693627,EGMC,1,24,medium,91
"Staverton, Gloucestershire, GB","Staverton, Gloucestershire",GB,GB-ENG,51.894199,-2.16722,EGBJ,1,14,small,19
"Foggia (FG), IT",Foggia (FG),IT,IT-75,41.433596,15.534566,LIBF,1,4,small,22
"Brno, CZ",Brno,CZ,CZ-JM,49.151276,16.693972,LKTB,1,21,medium,52
"Pisa (PI), IT",Pisa (PI),IT,IT-52,43.683899,10.3927,LIRP,1,56,medium,312
"Akrotiri, CY",Akrotiri,CY,CY-XX,34.590401,32.9879,LCRA,1,5,small,33
"Chassieu, Lyon, FR","Chassieu, Lyon",FR,FR-ARA,45.727947,4.943991,LFLY,1,41,medium,69
"Capannori (LU), IT",Capannori (LU),IT,IT-52,43.825825,10.577928,LIQL,1,20,small,51
"Napoli, IT",Napoli,IT,IT-72,40.886002,14.2908,LIRN,1,38,medium,139
"Riga, LV",Riga,LV,LV-062,56.955926000000005,24.022856,"EVRA, EVRS",2,63,large,846
"Oslo (Gardermoen), NO",Oslo (Gardermoen),NO,NO-32,60.193901,11.1004,ENGM,1,83,large,2555
"Győr, HU",Győr,HU,HU-GS,47.628436,17.804718,LHPR,1,9,small,10
"Palanga, LT",Palanga,LT,LT-KL,55.973202,21.093901,EYPA,1,8,small,60
"Ponta Delgada, PT",Ponta Delgada,PT,PT-20,37.7411994934,-25.6979007721,LPPD,1,7,medium,35
"Hradec Králové, CZ",Hradec Králové,CZ,CZ-KR,50.253201,15.8452,LKHK,1,6,small,6
"Faro, PT",Faro,PT,PT-08,37.015909,-7.970939,LPFR,1,79,large,675
"Newcastle upon Tyne, Tyne and Wear, GB","Newcastle upon Tyne, Tyne and Wear",GB,GB-ENG,55.037958,-1.689577,EGNT,1,63,large,535
"Caselle Torinese (TO), IT",Caselle Torinese (TO),IT,IT-21,45.200802,7.64963,LIMF,1,70,large,608
"London, GB",London,GB,GB-ENG,51.50920626285,-0.042626875149012505,"EGKB, EGKK, EGLC, EGLL, EGML, EGSG, EGSS, EGWU",8,205,large,11694
"Beja, PT",Beja,PT,PT-02,38.078899,-7.9324,LPBJ,1,2,small,3
"Genova (GE), IT",Genova (GE),IT,IT-42,44.412039,8.840732,LIMJ,1,33,medium,171
"Cardiff, GB",Cardiff,GB,GB-WLS,51.396702,-3.34333,EGFF,1,29,medium,155
