id,name,iso_country,iso_region,latitude,longitude,airports,airports_count,edges_count,node_type,node_degree
"Warsaw, PL",Warsaw,PL,PL-MZ,52.217449,20.9371515,"EPBC, EPWA",2,41,large,2112
"Riga, LV",Riga,LV,LV-062,56.955926000000005,24.022856,"EVRA, EVRS",2,12,large,526
"Oslo (Gardermoen), NO",Oslo (Gardermoen),NO,NO-32,60.193901,11.1004,ENGM,1,24,large,2003
"Faro, PT",Faro,PT,PT-08,37.015909,-7.970939,LPFR,1,10,large,354
"Newcastle upon Tyne, Tyne and Wear, GB","Newcastle upon Tyne, Tyne and Wear",GB,GB-ENG,55.037958,-1.689577,EGNT,1,8,large,358
"Caselle Torinese (TO), IT",Caselle Torinese (TO),IT,IT-21,45.200802,7.64963,LIMF,1,9,large,330
"London, GB",London,GB,GB-ENG,51.50920626285,-0.042626875149012505,"EGKB, EGKK, EGLC, EGLL, EGML, EGSG, EGSS, EGWU",8,78,large,10581
"Almería, ES",Almería,ES,ES-AN,36.843899,-2.3701,LEAM,1,3,medium,87
"Glasgow, GB",Glasgow,GB,GB-SCT,55.871899,-4.43306,EGPF,1,9,large,659
"Dublin, IE",Dublin,IE,IE-D,53.428713,-6.262121,EIDW,1,38,large,2775
"Madrid, ES",Madrid,ES,ES-MD,40.432053999999994,-3.6786944999999998,"LECU, LEMD",2,49,large,4273
"Bordeaux, FR",Bordeaux,FR,FR-NAQ,44.82865,-0.715356,LFBD,1,9,large,415
"Valencia, ES",Valencia,ES,ES-VC,39.489162,-0.480961,LEVC,1,9,large,332
"Copenhagen, DK",Copenhagen,DK,DK-84,55.617900848389,12.656000137329,EKCH,1,47,large,3145
"Málaga, ES",Málaga,ES,ES-AN,36.6749,-4.49911,LEMG,1,32,large,1597
"Thessaloniki, GR",Thessaloniki,GR,GR-B,40.51928,22.970009,LGTS,1,6,large,329
"Ferno (VA), IT",Ferno (VA),IT,IT-25,45.6306,8.72811,LIMC,1,31,large,1836
"Helsinki (Vantaa), FI",Helsinki (Vantaa),FI,FI-18,60.318363,24.963341,EFHK,1,23,large,1343
"Schkeuditz, DE",Schkeuditz,DE,DE-SN,51.420657,12.232705,EDDP,1,10,large,330
"Caselle (VR), IT",Caselle (VR),IT,IT-34,45.394955,10.887303,LIPX,1,4,medium,128
"Eindhoven, NL",Eindhoven,NL,NL-NB,51.4500999451,5.37452983856,EHEH,1,6,medium,198
"Sandefjord(Torp), NO",Sandefjord(Torp),NO,NO-39,59.186699,10.2586,ENTO,1,3,medium,106
"Zgornji Brnik, SI",Zgornji Brnik,SI,SI-012,46.223701,14.4576,LJLJ,1,3,medium,83
"Munich, DE",Munich,DE,DE-BY,48.353802,11.7861,EDDM,1,52,large,3335
"Larnaca, CY",Larnaca,CY,CY-04,34.875099,33.624901,LCLK,1,5,medium,282
"Charleroi, BE",Charleroi,BE,BE-WHT,50.461963,4.459562,EBCI,1,11,large,337
"Salzburg, AT",Salzburg,AT,AT-5,47.793301,13.0043,LOWS,1,6,large,238
"Ibiza (Eivissa), ES",Ibiza (Eivissa),ES,ES-IB,38.872898,1.37312,LEIB,1,3,medium,229
"Rotterdam, NL",Rotterdam,NL,NL-ZH,51.956902,4.43722,EHRD,1,5,medium,149
"Vilnius, LT",Vilnius,LT,LT-VL,54.634102,25.285801,EYVI,1,9,large,307
"Hamburg, DE",Hamburg,DE,DE-HH,53.58284016015625,9.91189301513672,"EDDH, EDHI",2,18,large,1122
"Tallinn, EE",Tallinn,EE,EE-37,59.413246,24.83264,EETN,1,7,medium,299
"Vienna, AT",Vienna,AT,AT-9,48.110298,16.5697,LOWW,1,40,large,2104
"Köln (Cologne), DE",Köln (Cologne),DE,DE-NW,50.865898,7.14274,EDDK,1,14,large,680
"Bristol, GB",Bristol,GB,GB-ENG,51.382326,-2.716453,EGGD,1,14,large,652
"Prague, CZ",Prague,CZ,CZ-PR,50.100874,14.259911,LKPR,1,23,large,1193
"Venezia (VE), IT",Venezia (VE),IT,IT-34,45.505299,12.3519,LIPZ,1,11,large,509
"Bologna, IT",Bologna,IT,IT-45,44.5354,11.2887,LIPE,1,13,large,531
"Trondheim, NO",Trondheim,NO,NO-50,63.457802,10.924,ENVA,1,5,large,447
"Bremen, DE",Bremen,DE,DE-HB,53.046786,8.78932,EDDW,1,5,medium,192
"Balice, PL",Balice,PL,PL-MA,50.077702,19.7848,EPKK,1,21,large,804
"Nuremberg, DE",Nuremberg,DE,DE-BY,49.498699,11.078056,EDDN,1,6,medium,246
"Funchal, PT",Funchal,PT,PT-30,32.697812,-16.774613,LPMA,1,3,large,259
