id1,id2,weight,distance
"Aalborg, DK","Amsterdam, NL",57,624.13
"Aalborg, DK","Copenhagen, DK",167,238.40000000000003
"Aalborg, DK","Málaga, ES",6,2507.05
"Aalborg, DK","Billund, DK",3,156.52
"Aalborg, DK","Roskilde, DK",11,218.91
"Aarhus, DK","Málaga, ES",7,2458.03
"Aarhus, DK","Vienna, AT",1,996.32
"Aarhus, DK","Gdańsk, PL",5,540.1
"Ajaccio, FR","Paris, FR",50,965.23
"Ajaccio, FR","Nice, Alpes-Maritimes, FR",14,232.33000000000004
"Ajaccio, FR","Colombier-Saugnieu, Rhône, FR",5,517.05
"Ajaccio, FR","Marignane, Bouches-du-Rhône, FR",66,338.33
"Ajaccio, FR","Seville, ES",2,1351.7
"Alava, ES","Valencia, ES",2,421.44
"Alava, ES","Santiago de Compostela, ES",1,463.53
"Alava, ES","Orio al Serio (BG), IT",2,1035.96
"Alava, ES","Seville, ES",5,664.53
"Alexandroupolis, GR","Spata-Artemida, GR",52,367.76000000000005
"Alghero, IT","Rome, IT",59,369.29
"Alghero, IT","Segrate (MI), IT",42,541.13
"Alghero, IT","Orio al Serio (BG), IT",4,571.78
"Alghero, IT","Bologna, IT",6,498.53
"Alicante, ES","Köln (Cologne), DE",21,1524.41
"Alicante, ES","Vienna, AT",10,1760.1199999999997
"Alicante, ES","Katowice, PL",12,2055.99
"Alicante, ES","Rotterdam, NL",27,1569.31
"Alicante, ES","Rome, IT",19,1170.9299999999998
"Alicante, ES","Amsterdam, NL",53,1613.15
"Alicante, ES","Dublin, IE",25,1739.79
"Alicante, ES","Barcelona, ES",77,403.84999999999997
"Alicante, ES","Düsseldorf, DE",10,1555.69
"Alicante, ES","Copenhagen, DK",30,2164.54
"Alicante, ES","Paris, FR",46,1245.77
"Alicante, ES","Zaventem, BE",37,1458.0099999999998
"Alicante, ES","Oostende, BE",12,1461.3099999999997
"Alicante, ES","Eindhoven, NL",47,1535.7599999999998
"Alicante, ES","Seville, ES",13,478.1
"Alicante, ES","Madrid, ES",67,359.3
"Alicante, ES","Palma de Mallorca, ES",44,318.2300000000001
"Alicante, ES","Nowy Dwór Mazowiecki, PL",4,2270.37
"Alicante, ES","Balice, PL",18,2074.3000000000006
"Alicante, ES","Göteborg, SE",20,2347.85
"Alicante, ES","Cork, IE",8,1629.04
"Alicante, ES","Stockholm, SE",29,2698.53
"Alicante, ES","Bratislava, SK",13,1804.28
"Alicante, ES","Weeze, DE",14,1570.4400000000003
"Alicante, ES","Warsaw, PL",26,2271.35
"Alicante, ES","Budapest, HU",20,1893.95
"Alicante, ES","Marignane, Bouches-du-Rhône, FR",10,750.73
"Alicante, ES","Charleroi, BE",36,1410.9900000000002
"Alicante, ES","Prague, CZ",4,1760.68
"Alicante, ES","Orio al Serio (BG), IT",9,1179.31
"Alicante, ES","Berlin, DE",12,1905.67
"Alicante, ES","Ibiza (Eivissa), ES",17,180.27000000000004
"Alicante, ES","Porto, PT",4,768.23
"Alicante, ES","Beauvais, FR",10,1260.39
"Alicante, ES","Ferno (VA), IT",24,1119.8
"Alicante, ES","Nuremberg, DE",8,1553.41
"Alicante, ES","Frankfurt am Main (Lautzenhausen), DE",10,1437.52
"Alicante, ES","Büren, DE",3,1645.78
"Alicante, ES","Poznań, PL",12,2066.7
"Almería, ES","Melilla, ES",6,181.72
"Almería, ES","Madrid, ES",44,414.84
"Almería, ES","Seville, ES",22,318.75
"Almería, ES","Barcelona, ES",21,626.44
"Amsterdam, NL","Schkeuditz, DE",18,522.02
"Amsterdam, NL","Dublin, IE",171,749.71
"Amsterdam, NL","Munich, DE",138,664.17
"Amsterdam, NL","Madrid, ES",144,1468.5799999999997
"Amsterdam, NL","Caselle Torinese (TO), IT",23,818.0
"Amsterdam, NL","Bremen, DE",38,283.48
"Amsterdam, NL","Copenhagen, DK",156,633.38
"Amsterdam, NL","Frankfurt am Main, DE",125,366.48
"Amsterdam, NL","Seville, ES",33,1852.07
"Amsterdam, NL","Bucharest, RO",66,1786.58
"Amsterdam, NL","Tallinn, EE",28,1471.8700000000001
"Amsterdam, NL","Stuttgart, DE",51,511.01
"Amsterdam, NL","Luxembourg, LU",49,314.94999999999993
"Amsterdam, NL","Warsaw, PL",102,1098.43
"Amsterdam, NL","Toulouse/Blagnac, FR",42,997.47
"Amsterdam, NL","Valencia, ES",32,1481.12
"Amsterdam, NL","Funchal, PT",18,2783.52
"Amsterdam, NL","Velika Gorica, HR",23,1098.85
"Amsterdam, NL","Paris, FR",187,378.01
"Amsterdam, NL","Pisa (PI), IT",6,1045.71
"Amsterdam, NL","Porto, PT",53,1594.97
"Amsterdam, NL","Nice, Alpes-Maritimes, FR",16,978.8600000000001
"Amsterdam, NL","Salzburg, AT",29,772.63
"Amsterdam, NL","Billund, DK",68,477.25
"Amsterdam, NL","Vilnius, LT",24,1377.4399999999998
"Amsterdam, NL","Istanbul, TR",133,2213.33
"Amsterdam, NL","Saint-Jacques-de-la-Lande, Ille-et-Vilaine, FR",10,659.99
"Amsterdam, NL","Göteborg, SE",54,760.16
"Amsterdam, NL","Bordeaux, FR",39,923.65
"Amsterdam, NL","Stockholm, SE",117,1142.3699999999997
"Amsterdam, NL","Lisbon, PT",58,1846.2999999999997
"Amsterdam, NL","Poznań, PL",18,817.97
"Amsterdam, NL","Vienna, AT",83,959.4800000000001
"Amsterdam, NL","Barcelona, ES",146,1241.14
"Amsterdam, NL","Riga, LV",34,1337.18
"Amsterdam, NL","Helsinki (Vantaa), FI",66,1521.36
"Amsterdam, NL","Hamburg, DE",68,372.79
"Amsterdam, NL","Valletta, MT",16,1984.49
"Amsterdam, NL","Colombier-Saugnieu, Rhône, FR",52,732.34
"Amsterdam, NL","Ferno (VA), IT",31,796.6399999999999
"Amsterdam, NL","Zaventem, BE",38,157.65999999999997
"Amsterdam, NL","Düsseldorf, DE",70,178.33999999999997
"Amsterdam, NL","Cork, IE",28,906.11
"Amsterdam, NL","Rome, IT",81,1302.7699999999998
"Amsterdam, NL","Málaga, ES",91,1883.6599999999999
"Amsterdam, NL","Marignane, Bouches-du-Rhône, FR",34,986.92
"Amsterdam, NL","Balice, PL",55,1073.59
"Amsterdam, NL","Segrate (MI), IT",139,831.08
"Amsterdam, NL","Wilhelmshaven, DE",3,257.35
"Amsterdam, NL","Nuremberg, DE",54,541.6
"Amsterdam, NL","Hannover, DE",40,334.36
"Amsterdam, NL","Gdańsk, PL",33,936.62
"Amsterdam, NL","Nantes, FR",40,733.2700000000001
"Amsterdam, NL","Prague, CZ",92,705.0
"Amsterdam, NL","Budapest, HU",44,1156.58
"Amsterdam, NL","Berlin, DE",80,593.4
"Amsterdam, NL","Bologna, IT",39,988.46
"Amsterdam, NL","Palma de Mallorca, ES",15,1426.97
"Amsterdam, NL","Mönchengladbach, DE",3,169.46
"Amsterdam, NL","Zgornji Brnik, SI",14,974.43
"Amsterdam, NL","Firenze (FI), IT",30,1058.4
"Amsterdam, NL","Faro, PT",24,1969.82
"Amsterdam, NL","Spata-Artemida, GR",51,2181.75
"Amsterdam, NL","Linköping, SE",23,965.29
"Amsterdam, NL","Ibiza (Eivissa), ES",12,1516.6600000000003
"Amsterdam, NL","Orio al Serio (BG), IT",1,821.24
"Amsterdam, NL","Thessaloniki, GR",12,1904.79
"Amsterdam, NL","Tarbes/Lourdes/Pyrénées, FR",2,1075.44
"Amsterdam, NL","Innsbruck, AT",35,733.08
"Amsterdam, NL","Wrocław, PL",19,844.6699999999998
"Amsterdam, NL","Genova (GE), IT",14,927.9
"Amsterdam, NL","Groningen, NL",5,151.81
"Antalya, TR","Frankfurt am Main, DE",10,2298.23
"Antalya, TR","Istanbul, TR",323,488.2
"Antalya, TR","Nuremberg, DE",7,2114.06
"Antalya, TR","Hannover, DE",15,2387.12
"Antalya, TR","Düsseldorf, DE",29,2478.71
"Antalya, TR","Paris, FR",6,2673.52
"Antalya, TR","Billund, DK",3,2650.92
"Antalya, TR","Stockholm, SE",3,2677.16
"Antalya, TR","Tymbou (Kirklar), CY",47,311.30999999999995
