id,name,iso_country,iso_region,latitude,longitude,airports,airports_count,edges_count,nut3_code,node_type,node_degree
"Tymbou (Kirklar), CY",Tymbou (Kirklar),CY,CY-02,35.153064,33.507352,LCEN,1,6,CY000,small,367
"Warsaw, PL",Warsaw,PL,PL-MZ,52.217449,20.9371515,"EPBC, EPWA",2,82,PL91,large,2223
"Skellefteå, SE",Skellefteå,SE,SE-AC,64.62480163574219,21.076900482177734,ESNS,1,4,SE331,medium,54
"Memmingen, DE",Memmingen,DE,DE-BY,47.988092,10.238248,EDJA,1,37,DE27,medium,135
"Brno, CZ",Brno,CZ,CZ-JM,49.151276,16.693972,LKTB,1,16,CZ064,medium,36
"Pisa (PI), IT",Pisa (PI),IT,IT-52,43.683899,10.3927,LIRP,1,47,ITI1,medium,229
"Akrotiri, CY",Akrotiri,CY,CY-XX,34.590401,32.9879,LCRA,1,3,CY000,small,3
"Chassieu, Lyon, FR","Chassieu, Lyon",FR,FR-ARA,45.727947,4.943991,LFLY,1,26,FRK26,medium,43
"Capannori (LU), IT",Capannori (LU),IT,IT-52,43.825825,10.577928,LIQL,1,17,ITI1,small,40
"Napoli, IT",Napoli,IT,IT-72,40.886002,14.2908,LIRN,1,34,ITF3,medium,125
"Riga, LV",Riga,LV,LV-062,56.955926000000005,24.022856,"EVRA, EVRS",2,53,LV00,large,715
"Győr, HU",Győr,HU,HU-GS,47.628436,17.804718,LHPR,1,8,HU221,small,9
"Palanga, LT",Palanga,LT,LT-KL,55.973202,21.093901,EYPA,1,6,LT023,small,49
"Ponta Delgada, PT",Ponta Delgada,PT,PT-20,37.7411994934,-25.6979007721,LPPD,1,6,PT200,medium,34
"Hradec Králové, CZ",Hradec Králové,CZ,CZ-KR,50.253201,15.8452,LKHK,1,6,CZ052,small,6
"Faro, PT",Faro,PT,PT-08,37.015909,-7.970939,LPFR,1,55,PT150,medium,361
"Caselle Torinese (TO), IT",Caselle Torinese (TO),IT,IT-21,45.200802,7.64963,LIMF,1,52,ITC1,medium,448
"Genova (GE), IT",Genova (GE),IT,IT-42,44.412039,8.840732,LIMJ,1,26,ITC3,medium,157
"Reggio Calabria, IT",Reggio Calabria,IT,IT-78,38.071201,15.6516,LICR,1,16,ITF6,small,112
"Almería, ES",Almería,ES,ES-AN,36.843899,-2.3701,LEAM,1,12,ES61,medium,104
"Dresden, DE",Dresden,DE,DE-SN,51.134123,13.767831,EDDC,1,30,DED2,medium,127
"Dole, FR",Dole,FR,FR-BFC,47.038955,5.427589,LFGJ,1,6,FRC12,small,9
"Ordu, TR",Ordu,TR,TR-52,40.966872,38.085995,LTCB,1,4,TR902,small,43
