nut3_code,pps,pps_per_inhabitant
AT13,110239.09,54600.0
AT22,56434.9,44400.0
AT31,72868.24,47500.0
AT32,33250.22,58100.0
AT33,39556.06,50900.0
BE211,60211.63,54900.0
BE242,23446.48,44300.0
BE255,6380.09,39700.0
BE256,7815.23,48700.0
BE32,39349.2,28800.0
BE332,23542.61,37000.0
CY000,38456.71,39500.0
CZ010,106400.06,76600.0
CZ052,17406.81,31300.0
CZ053,16153.64,30500.0
CZ064,42833.83,34900.0
CZ072,17287.1,29800.0
CZ080,33664.13,28400.0
DE11,255408.23,61300.0
DE12,141185.27,49600.0
DE13,97354.38,41900.0
DE14,92651.08,48700.0
DE21,321404.66,67700.0
DE22,56498.75,45000.0
DE24,46005.1,43600.0
DE25,90458.3,50400.0
DE27,83682.16,43400.0
DE30,186012.31,50600.0
DE50,37071.24,52700.0
DE60,145498.12,78300.0
DE71,238706.71,59200.0
DE80,55121.33,35000.0
DE91,81963.89,51500.0
DE92,94931.01,44700.0
DE93,58096.78,33700.0
DE94,108181.47,42100.0
DEA1,242818.32,46300.0
DEA2,211852.69,47300.0
DEA3,100974.47,38000.0
DEA4,87749.9,42300.0
DEA5,140051.08,39200.0
DED,145169.72,35900.0
DED2,58113.77,36600.0
DEF0,114114.19,38600.0
DK011,58996.85,71300.0
DK022,21924.63,37000.0
DK032,34939.62,47700.0
DK042,40083.78,42700.0
DK050,23624.64,39800.0
EE001,27394.28,42300.0
EE008,8011.69,24800.0
EL30,140638.87,38200.0
EL41,3800.57,16800.0
EL42,9567.04,27900.0
EL51,10457.15,17800.0
EL52,40065.0,21900.0
EL64,13051.86,23900.0
ES11,91319.99,33700.0
ES12,33488.92,33100.0
ES21,102225.1,45800.0
ES24,55384.6,40900.0
ES30,352821.18,49900.0
ES41,82563.89,34500.0
ES51,337322.72,41800.0
ES52,165460.63,30800.0
ES53,49870.12,40300.0
ES61,236958.73,27400.0
ES64,2036.97,23600.0
ES70,64880.06,28900.0
FI19,51727.86,37000.0
FI19B,20550.11,37900.0
FI1B1,90259.65,51000.0
FI1D,45041.63,35400.0
FI1D7,6865.0,39000.0
FI1D9,15224.36,36400.0
FR101,257740.86,123100.0
FR103,63768.28,43200.0
FRB06,24742.75,35800.0
FRC12,5444.06,27300.0
FRD11,23917.34,33800.0
FRE11,86340.0,32900.0
FRE12,39357.81,27000.0
FRE22,24200.0,29100.0
FRF11,44666.98,38100.0
FRF12,24666.43,32000.0
FRF23,23177.92,41100.0
FRG01,58965.58,39100.0
FRG02,26404.26,31600.0
FRH02,29810.89,31900.0
FRH03,43745.99,38700.0
FRI12,67259.33,39300.0
FRI15,24533.2,34600.0
FRJ12,22042.13,28700.0
FRJ13,42553.68,34100.0
FRJ15,14004.62,28100.0
FRJ23,67518.32,45300.0
FRJ26,6663.81,28600.0
FRK14,23943.58,35900.0
FRK24,49735.57,37900.0
FRK26,102547.88,53100.0
FRK27,19711.82,43500.0
FRK28,31231.36,35900.0
FRL04,88549.7,42500.0
FRL05,35143.17,31300.0
FRL06,19583.29,34300.0
