id,name,iso_country,iso_region,latitude,longitude,airports,airports_count,nut3_code,node_type,node_degree
"Rijeka(Omišalj), HR",Rijeka(Omišalj),HR,HR-08,45.216376,14.57085,LDRI,1,,large,3
"Ålesund, NO",Ålesund,NO,NO-15,62.560443,6.110845,ENAL,1,,large,3
"Pécs, HU",Pécs,HU,HU-BA,45.988891,18.242044,LHPP,1,,large,3
"Reus, ES",Reus,ES,ES-CT,41.147509,1.168354,LERS,1,,large,3
"Eskişehir, TR",Eskişehir,TR,TR-26,39.811644,30.519268,LTBY,1,,large,4
"Bilbao, ES",Bilbao,ES,ES-PV,43.301102,-2.91061,LEBB,1,,large,4
"Odense, DK",Odense,DK,DK-83,55.475307,10.327206,EKOD,1,,large,5
"Varna, BG",Varna,BG,BG-03,43.232101,27.8251,LBWN,1,,large,6
"Umeå, SE",Umeå,SE,SE-AC,63.791801,20.282801,ESNU,1,,large,7
"Pardubice, CZ",Pardubice,CZ,CZ-PA,50.015049,15.73981,LKPD,1,,large,8
"Olbia (SS), IT",Olbia (SS),IT,IT-88,40.898953,9.518457,LIEO,1,,large,8
"Mariehamn, FI",Mariehamn,FI,FI-01,60.1222,19.898199,EFMA,1,,large,9
"Dalaman, TR",Dalaman,TR,TR-48,36.7131,28.7925,LTBS,1,,large,10
"Klagenfurt am Wörthersee, AT",Klagenfurt am Wörthersee,AT,AT-2,46.642502,14.3377,LOWK,1,,large,11
"Rimini (RN), IT",Rimini (RN),IT,IT-45,44.020024,12.612198,LIPR,1,,large,11
"Stockholm / Västerås, SE",Stockholm / Västerås,SE,SE-U,59.589401,16.6336,ESOW,1,,large,14
"Erfurt, DE",Erfurt,DE,DE-TH,50.978281,10.960713,EDDE,1,,large,14
"Calden, DE",Calden,DE,DE-HE,51.418395,9.391638,EDVK,1,,large,14
"Constanța, RO",Constanța,RO,RO-CT,44.362202,28.4883,LRCK,1,,large,14
"Kiruna, SE",Kiruna,SE,SE-BD,67.821999,20.3368,ESNQ,1,,large,16
"Kavala, GR",Kavala,GR,GR-A,40.9133,24.6192,LGKV,1,,large,17
"Szczecin(Glewice), PL",Szczecin(Glewice),PL,PL-ZP,53.584702,14.9022,EPSC,1,,large,17
"La Virgen Del Camino, ES",La Virgen Del Camino,ES,ES-CL,42.590709,-5.653406,LELN,1,,large,18
"Lublin, PL",Lublin,PL,PL-LU,51.240157,22.713461,EPLB,1,,large,19
"Edremit, TR",Edremit,TR,TR-10,39.552533,27.010192,LTFD,1,,large,19
"Nyköping, SE",Nyköping,SE,SE-D,58.789656,16.911479,ESKN,1,,large,19
"Visby, SE",Visby,SE,SE-I,57.6628,18.346201,ESSV,1,,large,20
"El Matorral, ES",El Matorral,ES,ES-CN,28.4527,-13.8638,GCFV,1,,large,20
"Cluj-Napoca, RO",Cluj-Napoca,RO,RO-CJ,46.786042,23.685733,LRCL,1,,large,22
"Evenes, NO",Evenes,NO,NO-18,68.491302,16.678101,ENEV,1,,large,26
"San Bartolomé, ES",San Bartolomé,ES,ES-CN,28.945499,-13.6052,GCRR,1,,large,26
"Perugia (PG), IT",Perugia (PG),IT,IT-55,43.095901,12.5132,LIRZ,1,,large,27
"Saarbrücken, DE",Saarbrücken,DE,DE-SL,49.217562,7.111667,EDDR,1,,large,27
"Bacău, RO",Bacău,RO,RO-BC,46.5219,26.910299,LRBC,1,,large,28
"Linköping, SE",Linköping,SE,SE-E,58.404909,15.684499,ESSL,1,,large,34
"Ponta Delgada, PT",Ponta Delgada,PT,PT-20,37.7411994934,-25.6979007721,LPPD,1,,large,35
"Tampere / Pirkkala, FI",Tampere / Pirkkala,FI,FI-11,61.414101,23.604401,EFTP,1,,large,36
"Kittilä, FI",Kittilä,FI,FI-10,67.700996,24.8468,EFKT,1,,large,36
"Aarhus, DK",Aarhus,DK,DK-82,56.303331,10.618286,EKAH,1,,large,38
"Clermont-Ferrand, FR",Clermont-Ferrand,FR,FR-ARA,45.786701,3.16917,LFLC,1,,large,39
